AP_Numero_BP;AP_ID_ADR;AP_CADENA_PRODUCTIVA_ADR;AP_Horizonte;AP_Activo_Productivo;AP_cantidad;AP_Departamento
33;01;AGRICOLA;8;Batea acero inoxidable para battir mieles;24;ANTIOQUIA
33;01;AGRICOLA;8;Tanque recepción jugo de caña en acero;12;ANTIOQUIA
33;01;AGRICOLA;8;Paila semiesférica (fondo);60;ANTIOQUIA
33;01;AGRICOLA;8;Mesón acero inoxidable;12;ANTIOQUIA
33;01;AGRICOLA;8;Computador portatil;1;ANTIOQUIA
33;01;AGRICOLA;8;Botiquin;1;ANTIOQUIA
33;01;AGRICOLA;8;Kit señalización;1;ANTIOQUIA
33;01;AGRICOLA;8;Estibas plásticas;8;ANTIOQUIA
33;01;AGRICOLA;8;Zarandas;12;ANTIOQUIA
33;01;AGRICOLA;8;Espatulas de acero inoxidable;24;ANTIOQUIA
23;01;AGRICOLA;6;Semillas;10625;ANTIOQUIA
23;01;AGRICOLA;6;Insumos agricolas (cal dolomitica, materia organica, fertilizante, abono) kilos;99254,5;ANTIOQUIA
23;01;AGRICOLA;6;Insumos agricolas (Herbicidas, Fungicidas, Insecticidas, Clorpirifos líquido) litros;510;ANTIOQUIA
89;01;AGRICOLA;10;Insumos agricolas (cal dolomita, fetilizante) kilogramos;3800;ANTIOQUIA
89;01;AGRICOLA;10;Insumos agricolas (pegal, glofosato) frasco;900;ANTIOQUIA
89;01;AGRICOLA;10;"Machete 18""";200;ANTIOQUIA
89;01;AGRICOLA;10;Lima Nicholson;100;ANTIOQUIA
89;01;AGRICOLA;10;Azadón con cabo;100;ANTIOQUIA
89;01;AGRICOLA;10;Bomba de aspersión con boquillas;100;ANTIOQUIA
89;01;AGRICOLA;10;Limas;100;ANTIOQUIA
89;01;AGRICOLA;10;Recatón sembrador con cabo;100;ANTIOQUIA
89;01;AGRICOLA;10;Palin de cabo;100;ANTIOQUIA
89;01;AGRICOLA;10;Pluviómetro;100;ANTIOQUIA
89;01;AGRICOLA;10;Kit poscosecha plus;100;ANTIOQUIA
89;01;AGRICOLA;10;Coco recolecto;100;ANTIOQUIA
183;01;AGRICOLA;12;No se han entregado activos;;ANTIOQUIA
348;01;AGRICOLA;4;Navaja para injertar;10;ANTIOQUIA
348;01;AGRICOLA;4;"Machete cornte 18""";10;ANTIOQUIA
348;01;AGRICOLA;4;Pala redondo N 2;10;ANTIOQUIA
348;01;AGRICOLA;4;Azadon herragro ;10;ANTIOQUIA
348;01;AGRICOLA;4;Fumigadora EST FS 5 5 C;1;ANTIOQUIA
348;01;AGRICOLA;4;Fumigadora clasica;4;ANTIOQUIA
348;01;AGRICOLA;4;Insumos agricolas (Micorrizas, abono organico, fertilizante) bulto;775;ANTIOQUIA
322;01;AGRICOLA;5;Monogafas de Trabajo;34;ANTIOQUIA
322;01;AGRICOLA;5;Bomba fumigadora de espalda;34;ANTIOQUIA
322;01;AGRICOLA;5;Azadon con cabo;102;ANTIOQUIA
322;01;AGRICOLA;5;Guadañadora;34;ANTIOQUIA
173;01;AGRICOLA;10;Tractor;1;ANTIOQUIA
173;01;AGRICOLA;10;Rastra de Disco;3;ANTIOQUIA
173;01;AGRICOLA;10;Boleadora;3;ANTIOQUIA
173;01;AGRICOLA;10;Sembradora;3;ANTIOQUIA
173;01;AGRICOLA;10;Cuchilla Frontal;2;ANTIOQUIA
173;01;AGRICOLA;10;Remolque Granelero;1;ANTIOQUIA
173;01;AGRICOLA;10;Remolque Quinta Rueda;2;ANTIOQUIA
145;01;AGRICOLA;10;"Machete 20"" con funda";68;ANTIOQUIA
145;01;AGRICOLA;10;Pulverisadora de mochila manual mediante piston royal condor activa;68;ANTIOQUIA
145;01;AGRICOLA;10;Modulo integrado beneficio del café;68;ANTIOQUIA
145;01;AGRICOLA;10;Bomba de aspersion con boquillas ;68;ANTIOQUIA
145;01;AGRICOLA;10;Gramera electronica (5000 gramos) ;68;ANTIOQUIA
145;01;AGRICOLA;10;Cocos para recoleccion de café;272;ANTIOQUIA
145;01;AGRICOLA;10;Lima;68;ANTIOQUIA
145;01;AGRICOLA;10;Tijera de podar ;68;ANTIOQUIA
346;01;AGRICOLA;12;No se han entregado activos;;ARAUCA
49;01;AGRICOLA;10;Estanques de geomembrana;37;ATLANTICO
49;01;AGRICOLA;10;Plántulas de mango de hilaza;30800;ATLANTICO
49;01;AGRICOLA;10;Kilos de semilla de frijol Caupi;1400;ATLANTICO
49;01;AGRICOLA;10;Kit de herramientas;140;ATLANTICO
49;01;AGRICOLA;10;Kit de insumos agricolas;140;ATLANTICO
124;01;AGRICOLA;8;Colinos de platano;318600;BOLIVAR
124;01;AGRICOLA;8;Rulas;200;BOLIVAR
124;01;AGRICOLA;8;Sable para desmanche;200;BOLIVAR
124;01;AGRICOLA;8;Deshojadora;200;BOLIVAR
124;01;AGRICOLA;8;Lima;200;BOLIVAR
124;01;AGRICOLA;8;Bomba de espalda;200;BOLIVAR
124;01;AGRICOLA;8;Palin;200;BOLIVAR
124;01;AGRICOLA;8;Ahoyadora;200;BOLIVAR
124;01;AGRICOLA;8;Kit de insumos agricolas (materia organica, elementos menores, urea, cal, fosforo) bulto;18400;BOLIVAR
148;01;AGRICOLA;6;No se han entregado activos;;BOLIVAR
157;01;AGRICOLA;5;Insumos agricolas (fertilizante) bultos;1064;BOLIVAR
157;01;AGRICOLA;5;Insumos agricolas (fertilizante) litros;4123;BOLIVAR
157;01;AGRICOLA;5;Caneca plástica de 200 lt;266;BOLIVAR
157;01;AGRICOLA;5;Motobomba;26;BOLIVAR
157;01;AGRICOLA;5;Rula calibre 22;133;BOLIVAR
157;01;AGRICOLA;5; Paladraga;133;BOLIVAR
157;01;AGRICOLA;5;Lima;133;BOLIVAR
150;01;AGRICOLA;7;No se han entregado activos;;BOLIVAR
149;01;AGRICOLA;;;;BOYACA
559;01;AGRICOLA;;;;BOYACA
264;01;AGRICOLA;;;;BOYACA
118;01;AGRICOLA;;;;CALDAS
693;01;AGRICOLA;;;;CALDAS
80;01;AGRICOLA;;;;CALDAS
81;01;AGRICOLA;;;;CALDAS
174;01;AGRICOLA;;;;CALDAS
318;01;AGRICOLA;;;;CALDAS
744;01;AGRICOLA;;;;CALDAS
31;01;AGRICOLA;;;;CAUCA
48;01;AGRICOLA;;;;CAUCA
66;01;AGRICOLA;;;;CAUCA
58;01;AGRICOLA;;;;CAUCA
84;01;AGRICOLA;;;;CAUCA
313;01;AGRICOLA;;;;CAUCA
231;01;AGRICOLA;;;;CAUCA
382;01;AGRICOLA;;;;CESAR
380;01;AGRICOLA;;;;CESAR
6;01;AGRICOLA;;;;CHOCO
44;01;AGRICOLA;;;;CHOCO
77;01;AGRICOLA;;;;CHOCO
136;01;AGRICOLA;;;;CHOCO
68;01;AGRICOLA;;;;CHOCO
140;01;AGRICOLA;;;;CHOCO
134;01;AGRICOLA;;;;CHOCO
163;01;AGRICOLA;;;;CHOCO
165;01;AGRICOLA;;;;CHOCO
365;01;AGRICOLA;;;;CHOCO
143;01;AGRICOLA;;;;CORDOBA
100;01;AGRICOLA;;;;CORDOBA
354;01;AGRICOLA;;;;CORDOBA
69;01;AGRICOLA;;;;CUNDINAMARCA
153;01;AGRICOLA;;;;CUNDINAMARCA
131;01;AGRICOLA;;;;CUNDINAMARCA
311;01;AGRICOLA;;;;CUNDINAMARCA
2085;01;AGRICOLA;;;;CUNDINAMARCA
378;01;AGRICOLA;12;No se han realizado entregas;;GUAINIA
108;01;AGRICOLA;;;;HUILA
129;01;AGRICOLA;;;;HUILA
142;01;AGRICOLA;;;;HUILA
151;01;AGRICOLA;;;;HUILA
117;01;AGRICOLA;;;;HUILA
114;01;AGRICOLA;;;;HUILA
552;01;AGRICOLA;;;;HUILA
307;01;AGRICOLA;;;;HUILA
167;01;AGRICOLA;12;No se han realizado entregas;;LA GUAJIRA
342;01;AGRICOLA;5;construcción de Unidades de huertas ;187;LA GUAJIRA
90;01;AGRICOLA;;;;MAGDALENA
17;01;AGRICOLA;12;Kit agricola;40;META
25;1;AGRICOLA;12;Banco de maquinaria;1;META
63;01;AGRICOLA;5;Kit agricola;40;META
72;01;AGRICOLA;8;Banco de maquinaria;1;META
101;01;AGRICOLA;7;Banco de maquinaria;1;META
132;01;AGRICOLA;12;Plantulas;2222;META
132;01;AGRICOLA;12;Kit de insumos agricolas;67;META
156;01;AGRICOLA;12;Bodegas de almacenamiento de insumos agrícolas;71;META
144;01;AGRICOLA;12;Material Vegetal;172086;META
357;1;AGRICOLA;5;Maquinaria agricola;11;META
119;01;AGRICOLA;;;;NARINO
102;01;AGRICOLA;;;;NARINO
94;01;AGRICOLA;;;;NARINO
104;01;AGRICOLA;;;;NARINO
320;01;AGRICOLA;;;;NARINO
123;01;AGRICOLA;;;;NARINO
371;01;AGRICOLA;;;;NARINO
324;01;AGRICOLA;;;;NARINO
20;01;AGRICOLA;;;;NORTE SANTANDER
285;01;AGRICOLA;;;;NORTE SANTANDER
252;01;AGRICOLA;;;;NORTE SANTANDER
278;01;AGRICOLA;;;;NORTE SANTANDER
276;01;AGRICOLA;;;;NORTE SANTANDER
106;01;AGRICOLA;5;No se han realizado entregas;;QUINDIO
133;01;AGRICOLA;;;;SANTANDER
147;01;AGRICOLA;;;;TOLIMA
168;01;AGRICOLA;;;;VALLE DEL CAUCA
619;01;AGRICOLA;;;;VALLE DEL CAUCA
308;01;AGRICOLA;12;Colinos de plátano;2500;VAUPES
308;01;AGRICOLA;12;Kit herramientas (Bombas fumigadoras, Balanzas;8;VAUPES
308;01;AGRICOLA;12;Kit de insumos agrícolas;50;VAUPES
308;01;AGRICOLA;12;Palas;50;VAUPES
308;01;AGRICOLA;12;Limas;100;VAUPES
719;01;AGRICOLA;7;No se han entregado activos;;VICHADA
