,Cultivo,Departamento,Alta [ha],Media [ha],Baja [ha],Muy baja [ha],Total aptitud [ha],Área departamento [ha]
0,Aguacate ,Antioquia,275.83799999999997,251.051,167.46900000000002,0.0,694.3580000000001,6.296.299
1,Aguacate ,Cauca,160.441,195.942,113.245,0.0,469.62800000000004,3.125.130
2,Aguacate ,Boyacá,130.341,104.62200000000001,126.27,0.0,361.233,2.317.531
3,Aguacate ,Santander,95.35700000000001,153.81799999999998,80.125,0.0,329.3,3.054.326
4,Aguacate ,Cundinamarca,171.18099999999998,92.777,30.910999999999998,0.0,294.869,2.236.783
5,Aguacate ,Huila,90.81200000000001,97.48200000000001,58.958,0.0,247.252,1.813.533
6,Aguacate ,Nariño,66.068,76.089,42.051,0.0,184.208,3.149.751
7,Aguacate ,Tolima,28.51,54.446000000000005,91.223,0.0,174.179,2.415.020
8,Aguacate ,Caldas,67.362,44.495,8.152000000000001,0.0,120.009,743.890
9,Aguacate ,Norte de Santander,27.552,35.824,33.22,0.0,96.596,2.182.705
10,Aguacate ,Valle del Cauca,41.731,44.3,9.584,0.0,95.615,2.076.805
11,Aguacate ,Risaralda,22.724,31.179000000000002,7.346,0.0,61.248999999999995,356.035
12,Aguacate ,Quindío,12.457,10.591,712.0,0.0,23.76,193.217
13,Aguacate ,Cesar,1.6580000000000001,5.849,4.628,0.0,12.135,2.256.550
14,Aguacate ,Magdalena,884.0,4.404,3.2060000000000004,0.0,8.494,2.314.438
15,Aguacate ,Putumayo,5.1080000000000005,3.307,29.0,0.0,8.443999999999999,2.584.632
16,Aguacate ,Casanare,614.0,2.3569999999999998,2.946,0.0,5.917000000000001,4.434.139
17,Aguacate ,Meta,399.0,2.386,716.0,0.0,3.5010000000000003,8.555.025
18,Aguacate ,Bolívar,0.0,0.0,2.955,0.0,2.955,2.665.496
19,Aguacate ,La Guajira,0.0,266.0,1.501,0.0,1.767,2.061.936
20,Aguacate ,Caquetá,0.0,0.0,233.0,0.0,233.0,9.010.823
21,Aguacate ,Chocó,0.0,2.0,1.0,0.0,3.0,4.824.344
22,Aguacate ,Amazonas,0.0,0.0,0.0,0.0,0.0,10.903.686
23,Aguacate ,Guainía,0.0,0.0,0.0,0.0,0.0,7.140.386
24,Aguacate ,Guaviare,0.0,0.0,0.0,0.0,0.0,5.557.912
25,Aguacate ,Vaupés,0.0,0.0,0.0,0.0,0.0,5.343.179
26,Aguacate ,Vichada,0.0,0.0,0.0,0.0,0.0,10.008.757
27,Aguacate ,Córdoba,0.0,0.0,0.0,0.0,0.0,2.499.858
28,Aguacate ,Sucre,0.0,0.0,0.0,0.0,0.0,1.071.860
29,Aguacate ,Atlántico,0.0,0.0,0.0,0.0,0.0,331.159
30,Aguacate ,Arauca,0.0,0.0,0.0,0.0,0.0,2.383.135
31,Aguacate ,San Andrés Providencia y Santa Catalina,0.0,0.0,0.0,0.0,0.0,4.972
0,Ají tabasco ,Vichada,911.548,1.326.254,72.21,0.0,2.310.012,10.008.757
1,Ají tabasco ,Meta,450.746,1.587.968,86.699,0.0,2.125.413,8.555.025
2,Ají tabasco ,Córdoba,736.5419999999999,297.175,242.07299999999998,0.0,1.275.790,2.499.858
3,Ají tabasco ,Antioquia,502.49699999999996,299.976,177.827,0.0,980.300,6.296.299
4,Ají tabasco ,Santander,325.885,280.214,140.121,0.0,746.220,3.054.326
5,Ají tabasco ,Cesar,469.369,165.991,48.375,0.0,683.735,2.256.550
6,Ají tabasco ,Tolima,298.59,168.865,115.479,0.0,582.934,2.415.020
7,Ají tabasco ,Bolívar,125.76700000000001,243.540,172.454,0.0,541.761,2.665.496
8,Ají tabasco ,Huila,192.981,217.940,102.985,0.0,513.906,1.813.533
9,Ají tabasco ,Cauca,278.85400000000004,147.512,69.208,0.0,495.574,3.125.130
10,Ají tabasco ,Magdalena,235.532,132.519,89.21799999999999,0.0,457.269,2.314.438
11,Ají tabasco ,Valle del Cauca,291.784,74.032,7.847,0.0,373.663,2.076.805
12,Ají tabasco ,Cundinamarca,207.826,91.110,63.29600000000001,0.0,362.232,2.236.783
13,Ají tabasco ,Sucre,279.97,19.710,12.55,0.0,312.230,1.071.860
14,Ají tabasco ,Caquetá,196.32299999999998,80.952,25.826,0.0,303.101,9.010.823
15,Ají tabasco ,Casanare,173.965,41.057,12.907,0.0,227.929,4.434.139
16,Ají tabasco ,La Guajira,166.33,34.286,8.708,0.0,209.324,2.061.936
