,Cadena_Productiva
0,MAIZ
3,MAIZ
8,MAIZ
10,MAIZ
13,MAIZ
17,MAIZ
21,MAIZ
22,MAIZ
23,MAIZ
25,MAIZ
28,MAIZ
32,MAIZ
33,MAIZ
37,MAIZ
48,MAIZ
68,MAIZ
71,MAIZ
72,MAIZ
76,MAIZ
78,MAIZ
82,MAIZ
83,MAIZ
84,MAIZ
85,MAIZ
89,MAIZ
90,MAIZ
91,MAIZ
92,MAIZ
93,MAIZ
94,MAIZ
95,MAIZ
118,MAIZ
123,MAIZ
126,MAIZ
127,MAIZ
130,MAIZ
131,MAIZ
132,MAIZ
135,MAIZ
136,MAIZ
138,MAIZ
140,MAIZ
147,MAIZ
149,MAIZ
152,MAIZ
155,MAIZ
171,MAIZ
172,MAIZ
178,MAIZ
180,MAIZ
181,MAIZ
227,MAIZ
259,MAIZ
260,MAIZ
264,MAIZ
266,MAIZ
268,MAIZ
269,MAIZ
270,MAIZ
271,MAIZ
272,MAIZ
273,MAIZ
274,MAIZ
276,MAIZ
277,MAIZ
278,MAIZ
279,MAIZ
280,MAIZ
283,MAIZ
284,MAIZ
285,MAIZ
287,MAIZ
288,MAIZ
290,MAIZ
315,MAIZ
318,MAIZ
320,MAIZ
321,MAIZ
322,MAIZ
332,MAIZ
348,MAIZ
350,MAIZ
351,MAIZ
355,MAIZ
356,MAIZ
360,MAIZ
366,MAIZ
370,MAIZ
373,MAIZ
376,MAIZ
380,MAIZ
386,MAIZ
402,MAIZ
404,MAIZ
407,MAIZ
413,MAIZ
422,MAIZ
423,MAIZ
424,MAIZ
430,MAIZ
433,MAIZ
435,MAIZ
439,MAIZ
440,MAIZ
445,MAIZ
448,MAIZ
463,MAIZ
464,MAIZ
479,MAIZ
480,MAIZ
484,MAIZ
489,MAIZ
490,MAIZ
497,MAIZ
503,MAIZ
504,MAIZ
507,MAIZ
510,MAIZ
511,MAIZ
512,MAIZ
515,MAIZ
516,MAIZ
528,MAIZ
529,MAIZ
531,MAIZ
537,MAIZ
544,MAIZ
548,MAIZ
555,MAIZ
559,MAIZ
560,MAIZ
561,MAIZ
562,MAIZ
565,MAIZ
566,MAIZ
567,MAIZ
569,MAIZ
571,MAIZ
609,MAIZ
616,MAIZ
626,MAIZ
627,MAIZ
628,MAIZ
631,MAIZ
632,MAIZ
634,MAIZ
635,MAIZ
640,MAIZ
643,MAIZ
644,MAIZ
646,MAIZ
663,MAIZ
664,MAIZ
665,MAIZ
681,MAIZ
682,MAIZ
688,MAIZ
694,MAIZ
695,MAIZ
697,MAIZ
704,MAIZ
706,MAIZ
707,MAIZ
708,MAIZ
709,MAIZ
710,MAIZ
719,MAIZ
726,MAIZ
727,MAIZ
730,MAIZ
739,MAIZ
749,MAIZ
751,MAIZ
754,MAIZ
757,MAIZ
766,MAIZ
772,MAIZ
774,MAIZ
782,MAIZ
786,MAIZ
787,MAIZ
796,MAIZ
800,MAIZ
801,MAIZ
807,MAIZ
811,MAIZ
831,MAIZ
842,MAIZ
847,MAIZ
848,MAIZ
850,MAIZ
851,MAIZ
852,MAIZ
853,MAIZ
855,MAIZ
862,MAIZ
864,MAIZ
865,MAIZ
882,MAIZ
885,MAIZ
886,MAIZ
891,MAIZ
901,MAIZ
921,MAIZ
924,MAIZ
925,MAIZ
934,MAIZ
939,MAIZ
942,MAIZ
951,MAIZ
957,MAIZ
958,MAIZ
959,MAIZ
960,MAIZ
975,MAIZ
976,MAIZ
981,MAIZ
1019,MAIZ
1021,MAIZ
1025,MAIZ
1031,MAIZ
1041,MAIZ
1049,MAIZ
1050,MAIZ
1053,MAIZ
1058,MAIZ
1069,MAIZ
1073,MAIZ
1076,MAIZ
1078,MAIZ
1079,MAIZ
1101,MAIZ
1104,MAIZ
1108,MAIZ
1109,MAIZ
1126,MAIZ
1132,MAIZ
1133,MAIZ
1134,MAIZ
1159,MAIZ
1162,MAIZ
1177,MAIZ
1180,MAIZ
1181,MAIZ
1185,MAIZ
1186,MAIZ
1191,MAIZ
1196,MAIZ
1198,MAIZ
1200,MAIZ
1201,MAIZ
1202,MAIZ
1208,MAIZ
1211,MAIZ
1215,MAIZ
1218,MAIZ
1223,MAIZ
1224,MAIZ
1245,MAIZ
1249,MAIZ
1257,MAIZ
1264,MAIZ
1270,MAIZ
1275,MAIZ
1280,MAIZ
1281,MAIZ
1282,MAIZ
1283,MAIZ
1286,MAIZ
1298,MAIZ
1318,MAIZ
1321,MAIZ
1327,MAIZ
1328,MAIZ
1332,MAIZ
1333,MAIZ
1344,MAIZ
1346,MAIZ
1347,MAIZ
1359,MAIZ
1364,MAIZ
1365,MAIZ
1366,MAIZ
1367,MAIZ
1368,MAIZ
1369,MAIZ
1370,MAIZ
1372,MAIZ
1373,MAIZ
1374,MAIZ
1376,MAIZ
1378,MAIZ
1380,MAIZ
1381,MAIZ
1383,MAIZ
1385,MAIZ
1386,MAIZ
1387,MAIZ
1400,MAIZ
1419,MAIZ
1430,MAIZ
1432,MAIZ
1443,MAIZ
1458,MAIZ
1460,MAIZ
1462,MAIZ
1475,MAIZ
1477,MAIZ
1479,MAIZ
1492,MAIZ
1508,MAIZ
1525,MAIZ
1535,MAIZ
1536,MAIZ
1539,MAIZ
1548,MAIZ
1550,MAIZ
1553,MAIZ
1554,MAIZ
1555,MAIZ
1556,MAIZ
1561,MAIZ
1562,MAIZ
1566,MAIZ
1582,MAIZ
1583,MAIZ
1584,MAIZ
1586,MAIZ
1600,MAIZ
1608,MAIZ
1612,MAIZ
1613,MAIZ
1638,MAIZ
1639,MAIZ
1641,MAIZ
1657,MAIZ
1660,MAIZ
1661,MAIZ
1663,MAIZ
1666,MAIZ
1667,MAIZ
1668,MAIZ
1675,MAIZ
1682,MAIZ
1686,MAIZ
1687,MAIZ
1690,MAIZ
1697,MAIZ
1707,MAIZ
1709,MAIZ
1712,MAIZ
1714,MAIZ
1719,MAIZ
1736,MAIZ
1737,MAIZ
1759,MAIZ
1792,MAIZ
1796,MAIZ
1798,MAIZ
1802,MAIZ
1803,MAIZ
1805,MAIZ
1806,MAIZ
1807,MAIZ
1809,MAIZ
1810,MAIZ
