NIVEL;ID_ADR;CADENA_PRODUCTIVA_ADR
1;01;AGRICOLA
2;0101;CAFE
3;010101;CAFE
2;0102;CEBOLLAS
3;010201;CEBOLLA
3;010202;CEBOLLA DE BULBO
3;010203;CEBOLLA DE RAMA
3;010204;CEBOLLIN
2;0103;PLANTAS VIVAS Y ÁRBOLES
3;010301;CADUCIFOLIOS
3;010302;CANYARANA
3;010303;PLANTULAS
3;010304;EUCALIPTO BABY BLUE
2;0104;FLORES Y FOLLAJES
3;010401;ROSA
3;010402;CLAVEL
3;010403;ORQUIDEA
3;010404;CRISANTEMOS
3;010405;ANTURIO
3;010406;ASTROMELIA
3;010407;CARTUCHO-ASTROMELIA
3;010408;CORDELINE CINTA
3;010409;FITOSPORUM
3;010410;FLOR DE SAFARI
3;010411;GERBERAS
3;010412;GLADIOLO
3;010413;HELECHO
3;010414;HELECHO CUERO
3;010415;HELICONIA
3;010416;HORTENSIA
3;010417;LIMONIUM
3;010418;MORERA
3;010419;PALMA ROBELINA
3;010420;POMPON Y CRISANTEMO
3;010421;PROTEA
3;010422;STATICE
3;010423;TREE FERN
2;0105;RAÍCES Y TUBÉRCULOS ALIMENTICIOS
3;010501;PAPA
3;010502;PAPA CHINA
3;010503;PAPA CRIOLLA
3;010504;ULLUCO
3;010505;APIO
3;010506;ARRACACHA
3;010507;BATATA
3;010508;BORE
3;010509;CHONQUE
3;010510;MALANGA
3;010511;ÑAME
3;010512;ÑAME DIAMANTE
3;010513;ÑAME ESPINO
3;010514;YACON
3;010515;YUCA
3;010516;YUCA INDUSTRIAL
2;0106;TOMATES
3;010601;TOMATE
3;010602;TOMATE INVERNADERO
2;0107;AJOS Y PUERROS
3;010701;AJO
3;010702;PUERRO
2;0108;COLES, REPOLLOS, COLIFLORES Y LECHUGAS
3;010801;BROCOLI
3;010802;COL
3;010803;COLIFLOR
3;010804;REPOLLO
3;010805;ACHICORIA
3;010806;LECHUGA
3;010807;ACELGA
2;0109;ZANAHORIAS, RÁBANOS Y REMOLACHAS PARA ENSALADAS
3;010901;NABO
3;010902;ZANAHORIA
3;010903;RABANO
3;010904;REMOLACHA
2;0110;PEPINOS Y PEPINILLOS
3;011001;PEPINO COHOMBRO
3;011002;PEPINO GUISO
2;0111;HORTALIZAS DE VAINA
3;011101;ARVEJA
3;011102;CHACHAFRUTO
3;011103;FRIJOL
3;011104;FRIJOL ARBUSTIVO
3;011105;FRIJOL LADERA
3;011106;FRIJOL PLANA
3;011107;FRIJOL VOLUBLE
3;011108;GUANDUL
3;011109;HABICHUELA
2;0112;ALCACHOFAS, ESPARRAGOS, CALABAZA Y OTRAS HORTALIZAS
3;011201;ALCACHOFA
3;011202;ASPARRAGUS
3;011203;ESPARRAGO
3;011204;BERENJENA
3;011207;CHAMPIÑON
3;011208;ORELLANA
3;011209;AJI
3;011210;AJI DULCE
3;011211;AJI TABASCO
3;011212;ESPINACA
3;011213;AHUYAMA
3;011214;CALABACIN
3;011215;CALABAZA
3;011216;GUATILA
3;011217;YOTA
3;011218;ZUCCHINI
3;011219;ALFALFA
3;011220;HORTALIZAS VARIAS
2;0113;HORTALIZAS DE VAINA SECAS
3;011301;LENTEJA
3;011302;HABA
3;011303;GARBANZO
2;0114;PLÁTANOS Y BANANOS
3;011401;BANANITO
3;011402;BANANO
3;011403;BANANO EXPORTACION
3;011404;BANANO MANZANO
3;011405;CACHACO
3;011406;CHIRO
3;011407;CHOLUPA
3;011408;MURRAPO
3;011409;PLATANO
3;011410;PLATANO EXPORTACION
3;011411;BANANO
2;0115;PIÑAS , AGUACATES, GUAYABAS, MANGOS
3;011501;PIÑA
3;011502;AGUACATE
3;011503;GUAYABA
3;011504;GUAYABA MANZANA
3;011505;GUAYABA PERA
3;011506;MANGO
3;011507;MANGO INJERTO
3;011508;MANGOSTINO
3;011509;DATIL
3;011510;HIGO
3;011511;FEIJOA
2;0116;CITRICOS
3;011601;NARANJA
3;011602;NARANJA JAFFA
3;011603;NARANJA SALUSTIANA
3;011604;NARANJA VALENCIA
3;011605;NARANJA WASHINGTON NAVEL
3;011606;TANGARANA
3;011607;MANDARINA
3;011608;MANDARINA CLEMENTINA
3;011609;MANDARINA ONECO
3;011610;TANGELO
3;011611;TANGELO MINEOLA
3;011612;TANGELO ORLANDO
3;011613;LIMA
3;011614;LIMA TAHITI
