cadena_cultivo|mes_anio|promedio_exportaciones|promedio_exportaciones_superior|promedio_exportaciones_inferior|valor_real
ACELGA|201503|1.33654467247307|2.01095114247924|0.646750374236152|4
ACELGA|201601|0.214485737860942|0.308722878100161|0|0
ACELGA|201905|0.311840548286307|0.963411044598239|0|1
ACELGA|202003|0.214485737860942|0.912041658798868|0|0
ACELGA|202101|2.68932434760705|3.37454759542531|2.04411002142398|2.68932434760705
ACELGA|201504|0.214485737860942|0.915880151157091|0|0
ACELGA|201602|0.214485737860942|0.62027957459869|0|0
ACELGA|201906|0.214485737860942|0.667218345830854|0|0
ACELGA|201907|0.43083427819302|1.10240573852628|0|1
ACELGA|201701|0.268083036085281|0.926627172855426|0|0
ACELGA|201603|0.214485737860942|0.516855700879875|0|0
ACELGA|202005|4.67270780286179|5.30752864244882|4.00302379652897|4.67270780286179
ACELGA|201604|0.497095775659575|1.16394316430287|0|0
ACELGA|201702|0.447093415409739|1.1762846057127|0|0
ACELGA|201712|0.174397850465474|0.868445847094956|0|0
ACELGA|202006|4.58679407018977|5.26453271114255|3.90673573891262|4.58679407018977
ACELGA|201706|0.0580439533453396|0.679142102254914|0|0
ACELGA|201605|1.11735924665354|1.74968956329226|0.421229134732197|1
ACELGA|201703|0.385718862045538|1.07560118511433|0|0
ACELGA|201801|0.118351385318606|0.787545554352746|0|0
ACELGA|202008|0.214485737860942|0.912041658798868|0|0
ACELGA|201508|0.267952045928239|0.964509109170303|0|0
ACELGA|201704|0.471675664851505|1.20897992805222|0|1
ACELGA|201802|0.339246090788587|0.98534515406891|0|0
ACELGA|201705|0.85034821088492|1.49803344527747|0.137293071383006|1
ACELGA|201509|0.214485737860942|0.531730516894435|0|0
ACELGA|201803|0.947671990851811|1.59521790646784|0.256111436733363|0
ACELGA|201901|0.214485737860942|0.630567523952557|0|0
ACELGA|201807|0.264869539414761|0.966175904404942|0|0
ACELGA|201611|0.163058951735237|0.786873291586735|0|0
ACELGA|201510|0.461860475582166|1.12650737723106|0|0
ACELGA|201804|0.434447199868623|1.05539073238176|0|0
ACELGA|201902|0.240620025800561|0.937452125955337|0|1
ACELGA|201609|0.0657822783643571|0.738379214584444|0|0
ACELGA|201511|0.214485737860942|0.486831427766045|0|0
ACELGA|201805|0.581701918556395|1.25766313258374|0|0
ACELGA|201806|0.0243562756725333|0.707333761932396|0|0
ACELGA|201512|0.157631793208467|0.801706648498684|0|0
ACELGA|201904|0.385433651660087|1.02730327793685|0|1
ACELGA|202002|9.47981726662196|10.14719333832|8.80583159207336|9.47981726662196
ACELGA|202012|0.214485737860942|0.912041658798868|0|0
ACELGA|201506|0.214485737860942|0.485834527757725|0|0
ACELGA|202104|0.214485737860942|0.912041658798868|0|0
ACELGA|201709|0.0497655794560138|0.714875466338735|0|0
ACELGA|202010|0.214485737860942|0.912041658798868|0|0
ACELGA|201909|0.0150530646184208|0.748945193699878|0|0
ACELGA|201808|0.270051155252018|0.955032331339538|0|0
ACELGA|201612|0.095187811268695|0.768088974339543|0|0
ACELGA|202004|0.214485737860942|0.912041658798868|0|0
ACELGA|202102|10.0064866013422|10.7018882373788|9.32929358956551|10.0064866013422
ACELGA|201505|0.140892535482578|0.858402739626501|0|0
ACELGA|201711|0.0943250518343283|0.746591387785208|0|0
ACELGA|202103|0.214485737860942|0.912041658798868|0|0
ACELGA|201908|0.438900362369163|1.10185737440677|0|1
ACELGA|201911|0.214485737860942|0.623357934178883|0|0
ACELGA|201507|0.259886064058525|0.919133590180202|0|0
ACELGA|201810|0.470091474772729|1.10226903905869|0|1
ACELGA|201707|0.103118836736089|0.776179920495403|0|0
ACELGA|201608|0.214485737860942|0.623016008170238|0|0
ACELGA|201910|0.632808993331396|1.29807167274099|0|1
ACELGA|202007|1.08853513849072|1.79193382225986|0.453422857106831|1.08853513849072
ACELGA|202009|2.2052755394873|2.85242370275722|1.51532873441667|2.2052755394873
ACELGA|201606|0.0981085700072805|0.813697576299891|0|0
ACELGA|201903|1.50749248396841|2.14776011845389|0.827698312479433|0
ACELGA|201812|0.252175596204683|0.912041658798868|0|0
ACELGA|202011|1.46987460108471|2.16317067602269|0.798097597230316|1.46987460108471
ACELGA|201607|0.214485737860942|0.624444381561881|0|0
ACELGA|201708|0.100032078647482|0.769170094795715|0|0
