Numero_BP;Departamento;Municipio;Vereda;Predio;Organizacion;Id_Distrito;Nombre_Distrito;Escala_Distrito;Tipo_Distrito;Distrito_Operativo;Area_Bruta_HA;Area_Neta_Inicial_HA;Familias;Principales_Cultivos;Condición_Juridica;Propiedad_Distrito;Estado_Propiedad;Recursos_Construccion;Administrador_Distrito;Nombre_Fuente_Hidrica;Subzona_Hidrica;Corporacion_Autonoma_Regional;Concesión_Aguas;Numer_Consecion;Caudal_Consecion;Fecha_Consecion;Vigencia_Consecion;Observaciones
1;ANTIOQUIA;BETANIA;EL TABLAZO;;ASOTABLAZO;1;EL TABLAZO;Pequeña;Riego;1;125;125;33;Café, Tomate, Pepino, Pimentón, Maracuyá, Pan Coger, Fríjol, Maíz, Plátano, Yuca, Banano, Pastos, Cebolla;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Río El Pedral;Rio San Juan;CORANTIOQUIA;1;;;;;Programa Servicios Complementarios 2013.
2;ANTIOQUIA;CAICEDO;SAUCES ANACOSCA;;ASOANACOSCA;2;ANACOSCA;Pequeña;Riego;0;200;200;116;Maracuyá, Café, Plátano, Fríjol, Pastos, Maíz, Pancoger;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Anacosca;Directos Rio Cauca entre Rio San Juan y Pto Valdia;CORANTIOQUIA;0;;;;;
3;ANTIOQUIA;CAÑAS GORDAS;BUENOS AIRES;;ASOBUENOS AIRES;3;BUENOS AIRES;Pequeña;Riego;1;111;111;78;Café, Fríjol, Maíz, Pasto, Tomate, Plátano;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada La Mina, Quebrada León;Rio Sucio;CORPOURABA;0;;;;;Programa Servicios Complementarios 2014.
4;ANTIOQUIA;CAÑAS GORDAS;EL PASO;;ASOMEMBRILLAL;4;MEMBRILLAL;Pequeña;Riego;0;73;73;23;Café, Plátano, Cacao, Flores, Hortalizas, Frutales, Mora, Tomate, Cebolla, Cilantro, Perejil, Lechuga Crespa, Espinaca, Col, Mostaza, Ajo, Aromáticas, Ají, Pimentón, Pastos, Granadilla;Público ;ADR;Legalizado;Públicos ;ADR;"Quebrada El León, Quebrada La Mina, 
Quebrada La Llorona";Rio Sucio;CORPOURABA;1;;;;;Programa Servicios Complementarios 2014, El Distrito no opera, construido en el ano 2005, se debe realizar verificacion del diseno hidraulico estudios, bocatoma y tramos de tuberia.
5;ANTIOQUIA;CISNEROS;SANTA BÁRBARA;;ASOSANTABARBARA;5;SANTA BÁRBARA;Pequeña;Riego;0;50;50;25;Maíz, Chócolo, Fríjol, Cacao, Café, Caña, Café, Hortalizas, Frutas, Aguacate, Plátano, Cebolla;Público ;ADR;Legalizado;Públicos ;ADR;Quebrada Encanto, Quebrada Guáimara;Rio Nare;CORANTIOQUIA;0;;;;;Funciona como acueducto, Se incluyo en acta de Agosto de 2014, Distrito que no opera como riego, estructura de bocatoma averiada y no tiene personeria juridica Informacion DTAD.
6;ANTIOQUIA;ENTRERRIOS;EL TORURO;;ASOTORURO;6;EL TORURO;Pequeña;Riego;1;102;102;34;Pastos, Papa, Frijol, Tomate de Árbol, Mora;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada La Sierra, Quebrada La Maya;Rio Porce;CORANTIOQUIA;1;;;;;Programa Servicios Complementarios 2013.
7;ANTIOQUIA;GIRALDO;EL TAMBO;;ASOELTAMBO;7;EL TAMBO;Pequeña;Riego;1;40;40;44;Cebolla, Cilantro, Café Maíz, Alverja, Ajo, Zanahoria, Repollo, Cebolla Junca, ;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada El Duende;Directos Rio Cauca entre Rio San Juan y Pto Valdia;CORANTIOQUIA;0;;;;;Programa Servicios Complementarios 2014.
8;ANTIOQUIA;GIRALDO;EL TOYO;;ASOTOYO;8;EL TOYO;Pequeña;Riego;1;27;27;23;Cebolla, Cilantro, Tomate, Café, Hortalizas, Maíz, Papa, Frijol, Pasto, Plátano, Frutales;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;Quebrada La Higuerina, Quebrada El Duende;Directos Rio Cauca entre Rio San Juan y Pto Valdia;CORANTIOQUIA;0;;;;;Programa Servicios Complementarios 2014.
9;ANTIOQUIA;GIRALDO;TRAVESÍAS;;ASORTRALOM;9;ORTRALOM - TRAVESÍAS;Pequeña;Riego;1;30;30;26;Cebolla, Café, Cilantro Zanahoria, Tomate;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;Quebrada La Mona, Quebrada El Tambo ;Directos Rio Cauca entre Rio San Juan y Pto Valdia;CORANTIOQUIA;0;;;;;Programa Servicios Complementarios 2014.
10;ANTIOQUIA;LIBORINA;PLAYÓN;;ASOENCENILLOS;10;ENCENILLOS;Pequeña;Riego;1;45;45;17;Pastos, Cebolla, Repollo, Durazno;Público ;ADR;Legalizado;Públicos ;ADR;Río Bamba ;Directos Rio Cauca  entre Rio San Juan y  Pto Valdivia;CORANTIOQUIA;0;;;;;
