Código;Descripción del producto;Valor exportado en 2018-M05;Valor exportado en 2018-M06;Valor exportado en 2018-M07;Valor exportado en 2018-M08;Valor exportado en 2018-M09;Valor exportado en 2018-M10;Valor exportado en 2018-M11;Valor exportado en 2018-M12;Valor exportado en 2019-M01;Valor exportado en 2019-M02;Valor exportado en 2019-M03;Valor exportado en 2019-M04;Valor exportado en 2019-M05;Valor exportado en 2019-M06;Valor exportado en 2019-M07;Valor exportado en 2019-M08;Valor exportado en 2019-M09;Valor exportado en 2019-M10;Valor exportado en 2019-M11;Valor exportado en 2019-M12
'090111;Café sin tostar ni descafeinar;184363;141569;158313;205116;172987;186451;186748;209094;252039;201052;186019;176879;135769;143000;196490;210955;159326;187881;189176;234288
'080390;Plátanos frescos o secos (plátanos excl.);87101;49231;66020;83351;49677;48610;57393;54368;82822;64548;63338;99451;112874;53898;58944;71805;56152;78060;65241;63543
'060319;Flores frescas y capullos, cortados, de una, para ramos o adornos (excepto rosas, claveles, ...;90793;86132;73704;47152;42976;46901;48319;46491;48563;79429;71730;51807;95530;76120;55317;62584;42824;48146;57787;45186
'060312;"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos";22839;18247;22598;15988;15397;19943;15477;19794;18344;21398;22507;17400;25397;16650;16336;18688;19154;20549;17877;21605
'060311;"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas";35855;37929;31730;22355;20803;20033;19545;18711;18950;38501;40753;23644;39717;27417;21740;31490;18468;19507;30167;19934
'060314;"Crisantemos ""flores y capullos"", cortados para ramos o adornos, frescos";17059;13859;12686;10967;10413;12327;13175;9532;12514;15417;12758;11575;17011;10421;11767;11507;10728;12107;12123;11504
'080440;"Aguacates ""paltas"", frescos o secos";4054;2401;3340;4264;2732;4857;4784;4296;10077;12058;10454;8288;6223;5835;5560;7674;4828;5777;6035;6243
'081090;Tamarindos frescos, los anacardos, la jaca, litchis, sapotillos, maracuyá, carambola, pitahaya ...;6264;7285;6349;4672;4470;5421;5183;4410;7337;9775;9168;6438;5584;6634;5808;7088;5340;5840;5320;5865
'090121;Café tostado sin descafeinar;4693;4401;5795;7152;4633;6933;2640;5279;6901;18039;6393;7909;5379;2770;5991;5138;6146;5881;3189;5862
'080310;Plátanos frescos o secos;4369;3643;3693;5224;2944;2325;5062;4775;5085;3205;7310;8576;11523;1731;4294;3971;4106;4361;4234;5205
