Año,Mes,Cultivo,Índice,Subclase
2018,9,ARROZ,100.0,ARROZ
2018,9,LACTEO,98.81,OTROS DERIVADOS LACTEOS
2018,9,NARANJA,108.64,NARANJAS
2018,9,BANANO,108.64,BANANOS
2018,9,TOMATE DE ARBOL,108.64,TOMATE DE ARBOL
2018,9,MORA,108.64,MORAS
2018,9,PAPA,97.03,PAPA
2018,9,YUCA,97.03,YUCA
2018,9,PLATANO,97.03,PLATANO
2018,9,CEBOLLA,97.03,CEBOLLA
2018,9,TOMATE,97.03,TOMATE
2018,9,ZANAHORIA,97.03,ZANAHORIA
2018,9,FRIJOL,97.03,FRIJOL
2018,9,ARVEJA,97.03,ARVEJA
2018,9,CAFE,99.65,CAFE
2018,8,ARROZ,99.96,ARROZ
2018,8,LACTEO,98.37,OTROS DERIVADOS LACTEOS
2018,8,NARANJA,101.22,NARANJAS
2018,8,BANANO,101.22,BANANOS
2018,8,TOMATE DE ARBOL,101.22,TOMATE DE ARBOL
2018,8,MORA,101.22,MORAS
2018,8,PAPA,97.62,PAPA
2018,8,YUCA,97.62,YUCA
2018,8,PLATANO,97.62,PLATANO
2018,8,CEBOLLA,97.62,CEBOLLA
2018,8,TOMATE,97.62,TOMATE
2018,8,ZANAHORIA,97.62,ZANAHORIA
2018,8,FRIJOL,97.62,FRIJOL
2018,8,ARVEJA,97.62,ARVEJA
2018,8,CAFE,100.08,CAFE
2018,7,ARROZ,99.89,ARROZ
2018,7,LACTEO,98.31,OTROS DERIVADOS LACTEOS
2018,7,NARANJA,96.89,NARANJAS
2018,7,BANANO,96.89,BANANOS
2018,7,TOMATE DE ARBOL,96.89,TOMATE DE ARBOL
2018,7,MORA,96.89,MORAS
2018,7,PAPA,99.12,PAPA
2018,7,YUCA,99.12,YUCA
2018,7,PLATANO,99.12,PLATANO
2018,7,CEBOLLA,99.12,CEBOLLA
2018,7,TOMATE,99.12,TOMATE
2018,7,ZANAHORIA,99.12,ZANAHORIA
2018,7,FRIJOL,99.12,FRIJOL
2018,7,ARVEJA,99.12,ARVEJA
2018,7,CAFE,99.93,CAFE
2018,6,ARROZ,100.02,ARROZ
2018,6,LACTEO,98.54,OTROS DERIVADOS LACTEOS
2018,6,NARANJA,100.26,NARANJAS
2018,6,BANANO,100.26,BANANOS
2018,6,TOMATE DE ARBOL,100.26,TOMATE DE ARBOL
2018,6,MORA,100.26,MORAS
2018,6,PAPA,101.98,PAPA
2018,6,YUCA,101.98,YUCA
2018,6,PLATANO,101.98,PLATANO
2018,6,CEBOLLA,101.98,CEBOLLA
2018,6,TOMATE,101.98,TOMATE
2018,6,ZANAHORIA,101.98,ZANAHORIA
2018,6,FRIJOL,101.98,FRIJOL
2018,6,ARVEJA,101.98,ARVEJA
2018,6,CAFE,100.1,CAFE
2018,5,ARROZ,99.75,ARROZ
2018,5,LACTEO,98.49,OTROS DERIVADOS LACTEOS
