DEPARTAMENTO,MUNICIPIO,Total beneficiarios,Valor cofinanciación,Valor Contrapartida,YEAR,CP,CICLO_CULTIVO,RENDIMIENTO,PRODUCTIVIDAD,key,cluster
CAUCA,"SANTANDER DE QUILICHAO, TORIBÍO",16,410400000,189208102,2016,TOMATE,TRANSITORIO,33.21751811594203,0.9280274319951272,928,0
CESAR,PUEBLO BELLO,0,0,0,2013,NARANJA,PERMANENTE,5.5,0.5955056179775281,631,2
BOYACA,OTANCHE,228,671985026,444799891,2013,PITAHAYA,PERMANENTE,4.0,0.3333333333333333,683,2
TOLIMA,FRESNO,80,235750000,159800000,2013,GUANABANA,PERMANENTE,7.0,0.3023529411764706,514,2
CHOCO,RIOSUCIO,156,576525850,243508200,2014,YUCA,ANUAL,15.0,1.0,365,3
CAUCA,EL TAMBO,16,47156423,19866860,2013,PLATANO,PERMANENTE,6.0,0.7225396825396826,656,0
CAUCA,EL TAMBO,40,146196000,96305500,2013,PLATANO,PERMANENTE,6.0,0.7225396825396826,657,0
SANTANDER,FLORIAN,132,389068100,244150500,2013,CAÑA PANELERA,PERMANENTE,9.0,0.8333333333333334,529,0
LA GUAJIRA,DIBULLA,72,221745400,96632500,2014,ÑAME,ANUAL,12.0,0.26666666666666666,321,2
CAUCA,SUAREZ,36,81000000,17118750,2015,LULO,PERMANENTE,11.0,0.40625,70,2
CAQUETA,MILAN,0,414824400,165605000,2012,CHONTADURO,PERMANENTE,3.0,0.868421052631579,892,0
CHOCO,BOJAYA,272,1000128000,289850000,2014,PLATANO,PERMANENTE,6.9,0.9302163293789253,371,3
VALLE DEL CAUCA,EL CAIRO,0,148647860,79374280,2012,LULO,PERMANENTE,14.5,0.6666666666666666,768,0
AMAZONAS,LETICIA,8,29564387,5791785,2014,COPOAZU,PERMANENTE,5.5,0.7297297297297297,456,2
NARIÃ‘O,OSPINA,28,71000000,78800000,2014,CEBOLLA DE BULBO,TRANSITORIO,25.0,1.0,247,0
CUNDINAMARCA,GUADUAS,44,157950971,135177000,2013,TOMATE,TRANSITORIO,5.0,0.9666666666666667,611,0
BOLIVAR,EL CARMEN DE BOLIVAR,32,111336000,30440000,2013,PLATANO,PERMANENTE,10.0,0.75125,706,0
VALLE DEL CAUCA,BUENAVENTURA,262,2801926566,956060000,2019,COCO,PERMANENTE,11.948333333333332,0.9923325663814614,983,1
META,EL CASTILLO,92,340032000,37807500,2014,YUCA,ANUAL,15.0,1.0,298,0
CALDAS,SAMANA,16,40000000,20650000,2015,PEPINO COHOMBRO,TRANSITORIO,22.5,1.0,101,0
CALDAS,"SAMANÁ, VICTORIA",353,999522000,529500000,2017,AGUACATE,PERMANENTE,9.664391143911438,0.6107572810302274,964,3
CUNDINAMARCA,PACHO,8,23580000,11638000,2013,PAPA,TRANSITORIO,13.5,0.7367121848739496,605,2
NORTE DE SANTANDER,EL TARRA,40,147840000,144627000,2014,YUCA,ANUAL,14.0,1.0,213,0
NARIÃ‘O,PUPIALES,28,71000000,80540000,2014,UCHUVA,PERMANENTE,6.0,1.0,237,0
GUAINIA,INIRIDA,160,601041249,195746000,2013,PLATANO,PERMANENTE,6.8,0.2782608695652174,593,2
NARIÃ‘O,CUMBAL,80,67000000,78800000,2014,PAPA,TRANSITORIO,16.5,0.969047619047619,281,0
CESAR,ASTREA,68,209422780,64203900,2014,NARANJA,PERMANENTE,10.0,0.8,377,2
NARIÃ‘O,CONTADERO,28,70000000,46400000,2014,AJO,TRANSITORIO,10.0,1.0,286,0
CAUCA,CAJIBIO,56,206976000,187637560,2014,LULO,PERMANENTE,6.0,0.7142857142857143,388,0
CAUCA,SAN SEBASTIAN,0,113340,18566,2012,TRIGO,TRANSITORIO,2.0,0.9333333333333333,885,0
BOLIVAR,EL CARMEN DE BOLIVAR,0,0,0,2013,PLATANO,PERMANENTE,10.0,0.75125,718,0
SANTANDER,CIMITARRA,92,260679800,73913000,2012,PIÑA,PERMANENTE,25.0,1.0,794,0
CAUCA,BUENOS AIRES,28,90160000,17698200,2015,PLATANO,PERMANENTE,5.0,0.9555555555555556,96,0
NARIÃ‘O,PASTO,40,67000000,78590000,2014,LECHUGA,TRANSITORIO,14.0,1.0,244,0
ATLANTICO,MANATI,16,47160000,30355998,2013,MAIZ,TRANSITORIO,0.55,0.43337783711615485,747,2
CAUCA,PADILLA,12,27000000,7312500,2015,CIMARRON,TRANSITORIO,8.5,0.8571428571428572,76,0
CALDAS,LA DORADA,72,204012000,308846000,2012,YUCA,ANUAL,8.0,0.7,899,0
NORTE DE SANTANDER,GRAMALOTE,240,739200000,386400000,2014,TANGELO,PERMANENTE,10.0,1.0,209,3
NARIÃ‘O,GUACHUCAL,80,54200000,77360000,2014,PAPA,TRANSITORIO,16.0,0.9693650793650793,259,0
TOLIMA,CHAPARRAL,80,246323840,64305500,2014,ARRACACHA,ANUAL,8.0,1.0,158,0
TOLIMA,SANTA ISABEL,144,424117440,232632000,2013,PAPA,TRANSITORIO,25.0,0.68,495,0
SANTANDER,MACARAVITA,24,70728000,49182000,2013,YUCA,ANUAL,8.5,1.0,526,0
HUILA,LA ARGENTINA,100,369585500,137953800,2014,AGUACATE,PERMANENTE,10.0,0.3157894736842105,331,2
BOLIVAR,"SAN JACINTO, SAN JUAN NEPOMUCENO",205,1979133000,445252000,2017,MAIZ,TRANSITORIO,1.5274977497749782,0.7767031844481462,954,1
LA GUAJIRA,VILLANUEVA,40,123195400,90993750,2014,LULO,PERMANENTE,7.0,0.8235294117647058,314,0
META,PUERTO LLERAS,40,123200000,25287500,2014,PLATANO,PERMANENTE,18.0,0.8333333333333334,294,0
CAUCA,MORALES,60,184800000,139158000,2014,AGUACATE,PERMANENTE,10.0,0.5051546391752577,381,2
CAUCA,TORIBÍO,20,197000000,71010000,2016,TOMATE,TRANSITORIO,33.21751811594203,0.9280274319951272,922,0
HUILA,LA ARGENTINA,0,2527478,292838,2012,GRANADILLA,PERMANENTE,9.5,0.6888045540796964,850,0
CORDOBA,MONTELIBANO,0,217590800,419200,2012,YUCA,ANUAL,12.0,0.8727272727272727,877,0
CHOCO,ACANDI,96,351290294,232510000,2013,ÑAME,ANUAL,9.0,1.0,622,0
BOLIVAR,EL CARMEN DE BOLIVAR,4,11744750,6345000,2013,PLATANO,PERMANENTE,10.0,0.75125,719,0
NORTE DE SANTANDER,CONVENCION,20,64400000,42450000,2015,PEPINO COHOMBRO,TRANSITORIO,25.0,1.0,59,0
CESAR,PUEBLO BELLO,0,0,0,2013,NARANJA,PERMANENTE,5.5,0.5955056179775281,626,2
NARIÃ‘O,GUACHUCAL,100,61707000,61930000,2013,PAPA,TRANSITORIO,16.0,0.9493760635280772,558,0
SUCRE,PALMITO,0,204012000,133765000,2012,YUCA,ANUAL,16.84,0.4818001525553013,784,2
CAUCA,POPAYAN,4,12320000,6561000,2014,MORA,PERMANENTE,4.0,0.9230769230769231,380,0
NORTE DE SANTANDER,HACARI,24,77280000,45540000,2015,TOMATE,TRANSITORIO,39.5,0.95,54,0
TOLIMA,VENADILLO,8,30912000,24981000,2015,MANGO,PERMANENTE,15.0,0.7777777777777778,23,2
PUTUMAYO,SAN MIGUEL,80,195996100,85920619,2015,CAÑA PANELERA,PERMANENTE,4.0,0.7991071428571429,30,0
CORDOBA,LOS CORDOBAS,0,3105516000,572634000,2012,AHUYAMA,TRANSITORIO,10.0,1.0,878,1
ATLANTICO,PIOJO,124,458303988,235860000,2014,GUAYABA,PERMANENTE,5.0,1.0,429,0
BOLIVAR,CLEMENCIA,200,2000000000,575750000,2017,PLATANO,PERMANENTE,7.0,0.8333333333333334,10,1
MAGDALENA,PLATO,0,285609447,0,2012,YUCA,ANUAL,6.3,0.5018820577164367,818,2
META,PUERTO LOPEZ,0,584834400,18963000,2012,PIÑA,PERMANENTE,40.0,1.0,811,0
