HS;Descripci¢n HS;ID_ADR;CADENA_PRODUCTIVA_ADR;ASISTENCIATECNICA
1;Animales vivos;201;GANADERIA;GANADERIA
1;Animales vivos;201;GANADERIA;GANADERIA 
1;Animales vivos;201;GANADERIA;GANADERIA DP
1;Animales vivos;201;GANADERIA;GANADER…A DP
1;Animales vivos;201;GANADERIA;
1;Animales vivos;2;PECUARIO;
1;Animales vivos;2;PECUARIO;
1;Animales vivos;201;GANADERIA;
1;Animales vivos;201;GANADERIA;
1;Animales vivos;201;GANADERIA;
1;Animales vivos;201;GANADERIA;
1;Animales vivos;201;GANADERIA;
1;Animales vivos;201;GANADERIA;
1;Animales vivos;201;GANADERIA;
1;Animales vivos;201;GANADERIA;
1;Animales vivos;201;GANADERIA;
1;Animales vivos;201;GANADERIA;
1;Animales vivos;201;GANADERIA;
1;Animales vivos;201;GANADERIA;
1;Animales vivos;201;GANADERIA;
1;Animales vivos;201;GANADERIA;
1;Animales vivos;2;PECUARIO;
1;Animales vivos;2;PECUARIO;
105;"Gallos, gallinas, patos, gansos, pavos ""gallipavos"" y pintadas, de las especies domâsticas, ...";202;AVICULTURA;
105;"Gallos, gallinas, patos, gansos, pavos ""gallipavos"" y pintadas, de las especies domâsticas, ...";202;AVICULTURA;
105;"Gallos, gallinas, patos, gansos, pavos ""gallipavos"" y pintadas, de las especies domâsticas, ...";202;AVICULTURA;
106;Animales vivos, n.c.o.p. (exc. caballos, asnos, mulos, burdâganos, bovinos, porcinos, ovinos, ...;203;APICULTURA;
3;Pescados y crustÊceos, moluscos y demÊs invertebrados acuÊticos;6;ACUICULTURA;ACUICULTURA
3;Pescados y crustÊceos, moluscos y demÊs invertebrados acuÊticos;6;ACUICULTURA;
4;"Leche y productos lÊcteos; huevos de ave; miel natural; productos comestibles de origen animal ...";20103;LACTEO;
60110;Bulbos, cebollas, tubârculos, raÁces y bulbos tuberosos, turiones y rizomas, en reposo vegetativo ...;10201;CEBOLLA;
60110;Bulbos, cebollas, tubârculos, raÁces y bulbos tuberosos, turiones y rizomas, en reposo vegetativo ...;10202;CEBOLLA DE BULBO;
60110;Bulbos, cebollas, tubârculos, raÁces y bulbos tuberosos, turiones y rizomas, en reposo vegetativo ...;10203;CEBOLLA DE RAMA;
60110;Bulbos, cebollas, tubârculos, raÁces y bulbos tuberosos, turiones y rizomas, en reposo vegetativo ...;10204;CEBOLLIN;
60110;Bulbos, cebollas, tubârculos, raÁces y bulbos tuberosos, turiones y rizomas, en reposo vegetativo ...;10201;CEBOLLA;
60110;Bulbos, cebollas, tubârculos, raÁces y bulbos tuberosos, turiones y rizomas, en reposo vegetativo ...;10201;CEBOLLA;
60110;Bulbos, cebollas, tubârculos, raÁces y bulbos tuberosos, turiones y rizomas, en reposo vegetativo ...;10201;CEBOLLA;
60110;Bulbos, cebollas, tubârculos, raÁces y bulbos tuberosos, turiones y rizomas, en reposo vegetativo ...;10203;CEBOLLA DE RAMA;
60110;Bulbos, cebollas, tubârculos, raÁces y bulbos tuberosos, turiones y rizomas, en reposo vegetativo ...;10201;CEBOLLA;
60110;Bulbos, cebollas, tubârculos, raÁces y bulbos tuberosos, turiones y rizomas, en reposo vegetativo ...;10203;CEBOLLA DE RAMA;
60220;µrboles, arbustos y matas, de frutas o de otros frutos comestibles, incl. injertados;10301;CADUCIFOLIOS;
60220;µrboles, arbustos y matas, de frutas o de otros frutos comestibles, incl. injertados;10302;CANYARANA;
60290;Plantas vivas, incl. sus raÁces, y micelios (exc. bulbos, cebollas, tubârculos, raÁces y bulbos ...;10303;PLANTULAS;
603;Flores y capullos, cortados para ramos o adornos, frescos, secos, blanqueados, te?idos, impregnados ...;104;FLORES Y FOLLAJES;
603;Flores y capullos, cortados para ramos o adornos, frescos, secos, blanqueados, te?idos, impregnados ...;104;FLORES Y FOLLAJES;
603;Flores y capullos, cortados para ramos o adornos, frescos, secos, blanqueados, te?idos, impregnados ...;104;FLORES Y FOLLAJES;
60311;"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas";10401;ROSA;
60311;"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas";10401;ROSA;
60312;"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos";10402;CLAVEL;
60313;"OrquÁdeas ""flores y capullos"", cortadas para ramos o adornos, frescas";10403;ORQUIDEA;
60314;"Crisantemos ""flores y capullos"", cortados para ramos o adornos, frescos";10404;CRISANTEMOS;
60314;"Crisantemos ""flores y capullos"", cortados para ramos o adornos, frescos";10404;CRISANTEMOS;
60315;"Lirios frescos cortados ""Lilium spp."" y las yemas, de una, para ramos o adornos";10405;ANTURIO;
60315;"Lirios frescos cortados ""Lilium spp."" y las yemas, de una, para ramos o adornos";10405;ANTURIO;
60319;Flores frescas y capullos, cortados, de una, para ramos o adornos (excepto rosas, claveles, ...;10406;ASTROMELIA;
60319;Flores frescas y capullos, cortados, de una, para ramos o adornos (excepto rosas, claveles, ...;10407;CARTUCHO-ASTROMELIA;
60319;Flores frescas y capullos, cortados, de una, para ramos o adornos (excepto rosas, claveles, ...;10408;CORDELINE CINTA;
