,Unnamed: 0,BP,No. VP,Nombre Proyecto,Departamento,Municipio,Total beneficiarios,Hombres,Mujeres,Total Víctimas,Valor cofinanciado ADR,Valor encargo fiduciario,Valor total cofinanciación ADR,Valor Contrapartida,Valor total proyecto,Hectáreas,Resolución,Fecha resolución,Vigencia,Lineamiento de consejo directivo,AP_ID_ADR,AP_CADENA_PRODUCTIVA_ADR
5,5,6,6,"Mejorar las capacidades técnicas de adecuación, siembra y sostenimiento de plátano para la construcción de paz, beneficiando 35 familias en el municipio de Carmen del Darién - Chocó",CHOCO,CARMEN DEL DARIÉN,35,30,5,0,250000000,,250000000,513500000,763500000,100,1219,06/29/2017 12:00:00 AM,2017,,1,AGRICOLA
16,16,17,17,"Fortalecer la capacidad productiva y manejo de poscosecha mediante el establecimiento de 20 ha variedad resistente a roya, sostenimiento de 20 has de café variedad Colombia, adquisición de cuarenta beneficiaderos ecológicos y la dotación de dos equipos de laboratorio para la Asociación de Caficultores de la Macarena y Sumapaz para el año 2017 en el municipio de Mesetas - Meta.",META,MESETAS,40,31,9,0,500000000,,500000000,106600000,606600000,40,1250,07/12/2017 12:00:00 AM,2017,,1,AGRICOLA
19,19,20,20,"Fortalecer la productividad y competitividad de 46 cacaoteros de las asociaciones ASOCADELCAT, ASOCOMMULCAT y ASOPROCAP, del muncipio de Tibú - departamento de Norte de Santander",NORTE DE SANTANDER,TIBÚ,46,31,15,21,252785478,,252785478,351466000,604251478,92,1453,10/12/2017 12:00:00 AM,2017,,1,AGRICOLA
22,22,23,23,"Fortalecer la cadena productiva de café y plátano, a través del suministro de insumos y asistencia técnica en la vereda Llano Grande de Chimiadó del municipio de Dabeiba, Antioquia",ANTIOQUIA,DABEIBA,25,20,5,23,401373250,,401373250,355140000,756513250,69,1351,08/28/2017 12:00:00 AM,2017,,1,AGRICOLA
24,24,25,25,"Fortalecimiento de la productividad del cultivo de caucho con la implementación de tecnologías a partir de la dotación de maquinaria e insumos agrícolas en las veredas Las Delicias, Aguazul, Buenos Aires, Altamira, Santa Teresa, Los Medios y El Billar del municipio de la Macarena - Meta",META,LA MACARENA,28,16,12,10,255000000,,255000000,41570000,296570000,93,1401,09/19/2017 12:00:00 AM,2017,,1,AGRICOLA
30,30,31,31,"Mejorar las capacidades productivas del cultivo de café y su proceso post cosecha, dirigido a la población indígena y campesina del municipio de Caldono - departamento del Cauca.",CAUCA,CALDONO,51,40,11,6,501204000,,501204000,99735000,600939000,51,1438,10/06/2017 12:00:00 AM,2017,,1,AGRICOLA
32,32,33,33,Fortalecer la cadena productiva de la caña panelera y la actividad de transformación de los productores paneleros ASOPADI del municipio de Ituango - Antioquia,ANTIOQUIA,ITUANGO,12,11,1,0,199200000,,199200000,85226996,284426996,24,1251,07/12/2017 12:00:00 AM,2017,,1,AGRICOLA
42,42,44,44,"Siembra, producción y sostenimiento de cultivos de cacao, maíz y plátano para las Comunidades Indígenas Alto Palmira, Esperanza y Santa Isabel, de la zona Nro. 3 del resguardo indígena Embera Katío del Alto Andágueda",CHOCO,BAGADÓ,73,52,21,48,346452142,,346452142,524040000,870492142,73,1452,10/12/2017 12:00:00 AM,2017,,1,AGRICOLA
46,46,48,48,"Mejoramiento de las capacidades productivas de 20 familias que forman parte del Resguardo Toribío, mediante la implementación de los cultivos de Mango Tommy, piña y construcción de 14 invernaderos metálicos para la siembra de tomate de mesa en el municipio de Toribío.",CAUCA,TORIBÍO,20,17,3,9,197000000,,197000000,71010000,268010000,5,1522,11/08/2017 12:00:00 AM,2016,,1,AGRICOLA
47,47,49,49,"Establecimiento de 140 hectáreas de mango de hilaza en los municipios de Luruaco y Ponedera, departamento del Atlántico",ATLANTICO,"LURUACO, PONEDERA",140,103,37,15,1505613100,,1505613100,350547400,1856160500,140,104,02/15/2018 12:00:00 AM,2017,,1,AGRICOLA
54,54,58,58,Alianzas afroproductivas para la Paz,CAUCA,SANTANDER DE QUILICHAO,180,79,101,36,2840000000,,2840000000,612594821,3452594821,166,1556,11/23/2017 12:00:00 AM,2016,,1,AGRICOLA
59,59,63,63,Mejoramiento de los ingresos rurales a través del establecimiento de nuevas hectáreas de cultivo de cítricos para los pequeños productores de ASPROCUM del municipio de Uribe - Meta,META,URIBE,40,31,9,12,199970000,,199970000,194000000,393970000,80,122,02/21/2018 12:00:00 AM,2016,,1,AGRICOLA
