AP_Numero_BP;AP_ID_ADR;AP_CADENA_PRODUCTIVA_ADR;AP_Id_Predio;AP_Departamento;AP_Municipio;AP_Longitud_Predio 12;AP_Latitud_Predio 13;AP_Longitud_Predio 13;AP_Latitud_Predio 14;AP_Longitud_Predio 14;AP_Latitud_Predio 15;AP_Latitud_Predio 16;AP_Latitud_Predio 17;AP_Latitud_Predio 18;AP_Latitud_Predio 19;AP_Latitud_Predio 20;AP_Latitud_Predio 21;AP_Latitud_Predio 22;AP_Latitud_Predio 23;AP_Latitud_Predio 24;AP_Latitud_Predio 25
33;1;AGRICOLA;1;ANTIOQUIA;Ituango;-75.76941667;7.223027778;;;;;;;;;;;;;;
33;1;AGRICOLA;2;ANTIOQUIA;Ituango;-75.76886111;7.22325;;;;;;;;;;;;;;
33;1;AGRICOLA;3;ANTIOQUIA;Ituango;-75.752;7.222833333;;;;;;;;;;;;;;
33;1;AGRICOLA;4;ANTIOQUIA;Ituango;-75.76886111;7.223305556;;;;;;;;;;;;;;
33;1;AGRICOLA;5;ANTIOQUIA;Ituango;-75.76838889;7.22325;;;;;;;;;;;;;;
33;1;AGRICOLA;6;ANTIOQUIA;Ituango;-75.75730556;7.190722222;;;;;;;;;;;;;;
33;1;AGRICOLA;7;ANTIOQUIA;Ituango;-75.76044444;7.232777778;;;;;;;;;;;;;;
33;1;AGRICOLA;8;ANTIOQUIA;Ituango;-75.76252778;7.228555556;;;;;;;;;;;;;;
33;1;AGRICOLA;9;ANTIOQUIA;Ituango;-75.76044444;7.232833333;;;;;;;;;;;;;;
33;1;AGRICOLA;10;ANTIOQUIA;Ituango;-75.76941667;7.180833333;;;;;;;;;;;;;;
33;1;AGRICOLA;11;ANTIOQUIA;Ituango;-75.75002778;7.235166667;;;;;;;;;;;;;;
33;1;AGRICOLA;12;ANTIOQUIA;Ituango;-75.75730556;7.190388889;;;;;;;;;;;;;;
23;1;AGRICOLA;1;ANTIOQUIA;Dabeiba;-76.235;7.081388889;;;;;;;;;;;;;;
23;1;AGRICOLA;2;ANTIOQUIA;Dabeiba;-76.25722222;7.072222222;;;;;;;;;;;;;;
23;1;AGRICOLA;3;ANTIOQUIA;Dabeiba;-76.24722222;7.097222222;;;;;;;;;;;;;;
23;1;AGRICOLA;4;ANTIOQUIA;Dabeiba;-76.25;7.061111111;;;;;;;;;;;;;;
23;1;AGRICOLA;5;ANTIOQUIA;Dabeiba;-76.25166667;7.063611111;;;;;;;;;;;;;;
23;1;AGRICOLA;6;ANTIOQUIA;Dabeiba;-76.25666667;7.073888889;;;;;;;;;;;;;;
23;1;AGRICOLA;7;ANTIOQUIA;Dabeiba;-76.25277778;7.095;;;;;;;;;;;;;;
23;1;AGRICOLA;8;ANTIOQUIA;Dabeiba;-76.25361111;7.085277778;;;;;;;;;;;;;;
23;1;AGRICOLA;9;ANTIOQUIA;Dabeiba;-76.23666667;7.086111111;;;;;;;;;;;;;;
23;1;AGRICOLA;10;ANTIOQUIA;Dabeiba;-76.23861111;7.070555556;;;;;;;;;;;;;;
23;1;AGRICOLA;11;ANTIOQUIA;Dabeiba;-76.24083333;7.055277778;;;;;;;;;;;;;;
23;1;AGRICOLA;12;ANTIOQUIA;Dabeiba;-76.2425;7.073611111;;;;;;;;;;;;;;
23;1;AGRICOLA;13;ANTIOQUIA;Dabeiba;-76.23916667;7.076944444;;;;;;;;;;;;;;
23;1;AGRICOLA;14;ANTIOQUIA;Dabeiba;-76.24611111;7.062222222;;;;;;;;;;;;;;
23;1;AGRICOLA;15;ANTIOQUIA;Dabeiba;-76.25388889;7.082777778;;;;;;;;;;;;;;
23;1;AGRICOLA;16;ANTIOQUIA;Dabeiba;-76.24555556;7.080555556;;;;;;;;;;;;;;
23;1;AGRICOLA;17;ANTIOQUIA;Dabeiba;-76.2475;7.083055556;;;;;;;;;;;;;;
23;1;AGRICOLA;18;ANTIOQUIA;Dabeiba;-76.25361111;7.085277778;;;;;;;;;;;;;;
23;1;AGRICOLA;19;ANTIOQUIA;Dabeiba;-76.25111111;7.089722222;;;;;;;;;;;;;;
23;1;AGRICOLA;20;ANTIOQUIA;Dabeiba;-76.25166667;7.105833333;;;;;;;;;;;;;;
23;1;AGRICOLA;21;ANTIOQUIA;Dabeiba;-76.24833333;7.103611111;;;;;;;;;;;;;;
23;1;AGRICOLA;22;ANTIOQUIA;Dabeiba;-76.2475;7.081666667;;;;;;;;;;;;;;
23;1;AGRICOLA;23;ANTIOQUIA;Dabeiba;-76.24805556;7.077777778;;;;;;;;;;;;;;
23;1;AGRICOLA;24;ANTIOQUIA;Dabeiba;-76.24666667;7.082222222;;;;;;;;;;;;;;
23;1;AGRICOLA;25;ANTIOQUIA;Dabeiba;-76.24944444;7.080833333;;;;;;;;;;;;;;
89;1;AGRICOLA;1;ANTIOQUIA;Andes;-75.8405598;5.64140227;-75.83889855;5.642433406;-75.8386622;5.64035324;-75.83861929;5.64029596;;;;;;;;
89;1;AGRICOLA;2;ANTIOQUIA;Andes;-75.83857632;5.64025299;-75.83843311;5.6402028;-75.838876;5.642135;-75.8383615;5.640181391;;;;;;;;
89;1;AGRICOLA;3;ANTIOQUIA;Andes;-75.830159;5.65746;-75.828272;5.6557808;-75.828855;5.657531;-75.829467;5.65606;;;;;;;;
89;1;AGRICOLA;4;ANTIOQUIA;Andes;-75.840338;5.671449;-75.840627;5.6695;-75.8398;5.669317;-75.8867;5.670675;;;;;;;;
89;1;AGRICOLA;5;ANTIOQUIA;Andes;-75.83683;5.700837;-75.83732;5.700803;-75.837817;5.701586;-75.836683;5.702337;;;;;;;;
89;1;AGRICOLA;6;ANTIOQUIA;Andes;-75.839754;5.69231;-75.840813;5.691851;-75.840858;5.69169;-75.839797;5.691431;;;;;;;;
89;1;AGRICOLA;7;ANTIOQUIA;Andes;-75.859748;5.693451;-75.857416;5.694561;-75.85693;5.695478;-75.854729;5.69634;;;;;;;;
89;1;AGRICOLA;8;ANTIOQUIA;Andes;-75.84357;5.662902;-75.843487;5.662709;-75.843213;5.662359;-75.842679;5.662411;;;;;;;;
89;1;AGRICOLA;9;ANTIOQUIA;Andes;-75.842631;5.666428;-75.84282;5.664981;-75.839284;5.66647;-75.839616;5.668123;;;;;;;;
89;1;AGRICOLA;10;ANTIOQUIA;Andes;-75.845539;5.667328;-75.844771;5.666527;-75.84384;5.66755;-75.843203;5.668184;;;;;;;;
89;1;AGRICOLA;11;ANTIOQUIA;Andes;-75.857327;5.700813;-75.857408;5.700389;-75.857993;5.70087;-75.85781;5.701215;;;;;;;;
89;1;AGRICOLA;12;ANTIOQUIA;Andes;-75.839119;5.694482;-75.837717;5.69452;-75.836559;5.69396;-75.835413;5.694323;;;;;;;;
89;1;AGRICOLA;13;ANTIOQUIA;Andes;-75.857406;5.701458;-75.856567;5.701434;-75.855863;5.701522;-75.855465;5.701585;;;;;;;;
89;1;AGRICOLA;14;ANTIOQUIA;Andes;-75.854624;5.6827;-75.853635;5.682317;-75.852897;5.6819919;-75.852782;5.682447;;;;;;;;
89;1;AGRICOLA;15;ANTIOQUIA;Andes;-75.857568;5.68154;-75.856251;5.680381;-75.854573;5.680188;-75.854742;5.682147;;;;;;;;
89;1;AGRICOLA;16;ANTIOQUIA;Andes;-75.867555;5.747399;-75.867555;5.747644;-75.866405;5.746698;-75.86716;5.746541;;;;;;;;
89;1;AGRICOLA;17;ANTIOQUIA;Andes;-75.8527;5.679465;-75.851569;5.679802;-75.851488;5.680122;-75.851574;5.680524;;;;;;;;
