AP_Numero_BP;AP_Porcentaje_Avance;AP_Beneficiarios_Definitivos;AP_Cant_Afrocolombiano;AP_Cant_Campesinos;AP_Cant_Mujeres;AP_Cant_Indigenas;AP_Cant_Hombre;AP_Cant_MujerRural;AP_Raizal;AP_Cant_Victimas;AP_Sector_Productivo;AP_ID_ADR;AP_CADENA_PRODUCTIVA_ADR;AP_Nombre_Proyecto;AP_Fecha_Resolución;AP_Departamento
33;100;12;0;12;1;0;11;0;0;0;Agricola;1;AGRICOLA;Fortalecer la cadena productiva de la caña panelera y la actividad de transformación de los productores paneleros ASOPADI del Municipio de Ituango - Antioquia.;12/07/2017;ANTIOQUIA
23;50;25;0;25;5;0;20;0;0;23;Agricola;1;AGRICOLA;Fortalecer la cadena productiva de café y plátano, a través del suministro de insumos y asistencia técnica en la vereda Llano Grande de Chimiadó del municipio de Dabeiba, Antioquia.;28/08/2017;ANTIOQUIA
89;100;100;0;100;22;0;78;0;0;13;Agricola;1;AGRICOLA;Una hectárea para la vida, una hectárea para la paz.;23/03/2018;ANTIOQUIA
183;16.04;20;0;20;6;0;14;0;0;4;Agricola;1;AGRICOLA;Fortalecimiento de la actividad agrícola en el municipio de Don Matías (Antioquia) a través del establecimiento de cultivos de Aguacate Hass.;17/07/2018;ANTIOQUIA
348;78.96;30;0;30;30;0;0;0;0;16;Agricola;1;AGRICOLA;Fortalecimiento de Mujeres cabeza de familia asociadas a la cadena productiva de fresa en el municipio de Yarumal, para el mejoramiento de la producción y la comercialización.;17/07/2018;ANTIOQUIA
322;74.65;34;0;34;7;0;27;0;0;13;Agricola;1;AGRICOLA;Establecimiento de 34 hectáreas de caña panelera, con 34 familias beneficiarias en el municipio de Uramita Antioquia.;1/08/2018;ANTIOQUIA
173;81.26;119;0;119;44;0;75;0;0;48;Agricola;1;AGRICOLA;Fortalecer el sistema productivo agropecuario en la subregión del Bajo Cauca, mediante la implementación de un banco de maquinaria agrícola para pequeños y medianos productores de los municipios de Caucasia, Nechí y Tarazá del departamento de Antioquia.;6/08/2018;ANTIOQUIA
145;80.89;68;0;68;29;0;39;0;0;19;Agricola;1;AGRICOLA;Fortalecer las capacidades productivas de familias cafeteras en los municipios de Fredonia y Montebello en el departamento de Antioquia.;25/09/2018;ANTIOQUIA
346;20;25;0;11;11;0;14;11;0;14;Agricola;1;AGRICOLA;Establecimiento de 25 hectáreas para la siembra y comercialización de Maracuyá como base sostenible para generar ingresos y mejorar la calidad de vida de 25 familias en los municipios de Tame y Fortul departamento de Arauca.;9/09/2019;ARAUCA
49;95;140;21;119;37;0;103;0;0;15;Agricola;1;AGRICOLA;Establecimiento de 140 hectáreas de mango de hilaza en los municipios de Luruaco y Ponedera, departamento del Atlántico;15/02/2018;ATLANTICO
124;95;200;0;200;21;0;179;0;0;45;Agricola;1;AGRICOLA;Mejorar las capacidades productivas y generación de ingresos a pequeños productores rurales a través del cultivo de plátano hartón dominico en el municipio de Clemencia Bolívar;28/02/2018;BOLIVAR
148;55;205;0;205;20;0;185;0;0;182;Agricola;1;AGRICOLA;Fortalecer las capacidades productivas de pequeños productores de maíz de los municipio de San Juan de Nepomuceno y San Jacinto en los Montes de María en el departamento de Bolívar.;9/07/2018;BOLIVAR
157;55;133;0;133;8;0;125;0;0;123;Agricola;1;AGRICOLA;Mejoramiento del ingreso de los pequeños productores a través del desarrollo tecnificado de los cultivos de Plátano Hartón asociado con maíz amarillo en los municipios de Carmen de Bolívar, San Juan Nepomuceno y San Jacinto en el departamento de Bolívar.;17/07/2018;BOLIVAR
150;10;94;0;0;9;0;85;0;0;38;Agricola;1;AGRICOLA;Generar alternativas de producción para 94 pequeños productores del municipio del guamo bolívar a través de la siembra de igual número de hectáreas de plátano.;9/01/2020;BOLIVAR
149;86.13;347;0;347;70;0;277;0;0;0;Agricola;1;AGRICOLA;Fortalecimiento de las capacidades productivas de 19 asociaciones de pequeños productores, mediante la dotación de bancos de maquinaria y equipos, para la producción de papa en el departamento de Boyacá.;19/06/2018;BOYACA
559;95;48;0;0;23;0;25;0;0;0;Agricola;1;AGRICOLA;Mejorara la capacidad productiva y asociativa a pequeños productores ganaderos mediante el mejoramiento de las condiciones nutricionales del hato lechero de 49 beneficiarios del municipio Zetaquirá, Departamento de Boyacá;12/07/2018;BOYACA
264;8;250;0;250;76;0;174;0;0;34;Agricola;1;AGRICOLA;Fortalecimiento de las capacidades productivas y organizaciones mediante el sostenimiento de cultivos de Aguacate Lorena beneficiando a pequeños y medianos productores en los Municipios de Coper, Muzo, Otanche y San Pablo de Borbur en el Departamento de Boyacá.;28/11/2019;BOYACA
118;95;156;0;81;35;0;121;0;0;75;Agricola;1;AGRICOLA;Fortalecer la producción de 156 productores de Aguacate en los municipios de Manzanares, Aguadas y Samana departamento de Caldas como diversificación de la vocación cafetera y el mejoramiento del nivel de ingresos de los productores;15/02/2018;CALDAS
693;95;291;0;186;51;0;240;0;0;105;Agricola;1;AGRICOLA;Fortalecer las capacidades productivas y asociativas mediante la implementación de 291 hectáreas de aguacate Hass, beneficiando a pequeños productores de los municipios de Aguadas, Salamina, Manzanares, Pensilvania, Merced y Supía, del departamento del Caldas.;26/02/2018;CALDAS
80;100;50;0;50;13;0;37;0;0;0;Agricola;1;AGRICOLA;Fortalecer la capacidad Productiva y la generación de ingresos de (50) cincuenta pequeños productores del municipio de Aranzazu-Caldas a través del establecimiento de 25 nuevas hectáreas de café, sembrado con el sistema de asocio de cultivos y el fortalecimiento de 25 hectáreas de café para un total de 50 hectáreas intervenidas.;28/02/2018;CALDAS
81;100;50;0;40;10;0;40;0;0;10;Agricola;1;AGRICOLA;Fortalecer la capacidad Productiva y la generación de ingresos de 50 pequeños productores del Municipios de Risaralda - Caldas a través del establecimiento de 25 nuevas hectáreas de café, sembrado con el sistema de asocio de cultivos y el fortalecimiento de 25 hectáreas de café para un total de 50 hectáreas intervenidas.;23/03/2018;CALDAS
174;76.1;100;0;41;20;53;80;0;0;6;Agricola;1;AGRICOLA;"Contribuir al fortalecimiento de la cadena productiva de panela a 100 productores ubicados en el municipio de Supía, mediante la dotación de paquetes tecnológicos productivos, comerciales y asociados.;";1/08/2018;CALDAS
318;60;353;0;353;73;0;280;0;0;328;Agricola;1;AGRICOLA;Fortalecimiento a los agricultores de los municipios de Samaná y Victoria Caldas, a través de la entrega de paquetes tecnológicos para mejorar los cultivos de café, caña, cacao y aguacate;2/08/2018;CALDAS
744;20;48;0;41;10;0;38;0;0;7;Agricola;1;AGRICOLA;Fortalecimiento del componente productivo de 48 pequeños productores de la Asociación PROCAMSA, a través del sostenimiento de 48 Ha de plátano dominico harton (musa sp.) en el Municipio de San Jose Caldas;27/12/2019;CALDAS
31;70;51;0;51;11;38;40;0;0;6;Productivo-mejoramiento cultivo;1;AGRICOLA;Mejorar las Capacidades Productivas del cultivo de café y su procesos post cosecha, dirigido a la población indigena  y campesina del municipio de Caldono del departamento del Cauca .;6/10/2017;CAUCA
48;100;20;0;0;3;20;17;0;0;9;Agricola;1;AGRICOLA;Mejoramiento de las capacidades productivas de 20 familias que forman parte del Resguardo Toribio, mediante la complementación de los cultivos de Mango Tommy, Piña y construcción de 14 invernaderos metálicos para la siembra de Tomate de mesa en el municipio de Municipios de Toribio.;8/11/2017;CAUCA
66;100;16;0;0;3;16;13;0;0;13;Agricola;1;AGRICOLA;Mejoramiento de las capacidades productivas de 16 familias que forman parte del Resguardo de Tacueyo, mediante la implementación de los cultivos de Pitahaya, Mora, Aguacate Hass, Café, Tomate bajo invernadero y explotación de ganadería de leche, en los Municipios de Toribio y Santander de Quilichao.;20/11/2017;CAUCA
58;55;180;180;0;101;0;79;0;0;36;Agricola, Pecuario;1;AGRICOLA;Alianzas Afroproductivas para la Paz;23/11/2017;CAUCA
84;20;42;0;0;6;0;36;0;0;42;Agricola;1;AGRICOLA;Fortalecer las capacidades y los sistemas productivos de las familias pertenecientes a la organización ACIESCA, mediante el establecimiento y comercialización de productos cultivados de la región costa pacífica municipio de Timbiqui Cauca;1/12/2017;CAUCA
313;95;390;0;0;132;0;258;0;0;120;Agricola;1;AGRICOLA;"Fortalecimiento de las capacidades productivas de frutales para pequeños productores en situación de vulnerabilidad, ubicados en 11 municipios del Departamento del Cauca;";24/07/2018;CAUCA
231;5;400;0;18;141;392;259;0;0;22;Agricola;1;AGRICOLA;Mejoramiento de la calidad en taza de los cafe de variedades tradicionales producidas por 400 familias en el municipio de Inza y busqueda de mercados para los cafeces especiales origen Piendamo.;28/11/2019;CAUCA
382;20;48;0;48;15;0;33;0;0;20;Agricola;1;AGRICOLA;"Aumentar los ingresos de pequeños productores agropecuarios de los Municipios de la Jagua de Ibirico, Chimichagua y Agustin Codazzi en el Departamento del Cesar a partir del cultivo de mango keitt en asocio con frijol caupi;";18/11/2019;CESAR
380;20;118;0;0;25;93;93;0;0;46;Agricola;1;AGRICOLA;"Mejorar la productividad del cultivo de caña panelera, mediante la siembra, la provision de equipos para la cosecha y poscosecha beneficiando pequeños productores de los Municipios de Valledupar y Pueblo Bello en el Departamento de Cesar;";27/11/2019;CESAR
6;70;35;15;20;5;0;30;0;0;0;Productivo-mejoramiento cultivo;1;AGRICOLA;Mejorar las capacidades técnicas de adecuación, siembra y sostenimiento de plátano para la construcción de paz beneficiando 35 familias en el municipio de Carmen del Darien - Chocó.;29/06/2017;CHOCO
44;88.25;73;0;0;21;73;52;0;0;48;Agricola;1;AGRICOLA;Siembra, producción y sostenimiento de cultivos de Cacao, Maíz y Plátano para las Comunidades Indígenas Alto Palmira, Esperanza y Santa Isabel, de la zona Nro. 3 del resguardo indígena Emberá Katío del Alto Andágueda.;12/10/2017;CHOCO
77;89;72;0;0;17;72;55;0;0;12;Agricola;1;AGRICOLA;Siembra y producción y sostenimiento de cultivos de maíz y plátano para las Comunidades Indígenas de Quebrada Monte y el Salto y la producción de cerdos de ceba en la comunidad de Iguanero de la Zona N°2 del resguardo indígena Embera Katío del Alto Andágueda.;23/03/2018;CHOCO
136;100;127;0;0;12;127;115;0;0;118;Agricola;1;AGRICOLA;Siembra, sostenimiento y producción, de cultivos de maíz y plátano en las comunidades de Alto Jarando y Alto Andiado respectivamente y la producción de cerdos en ceba en la comunidad de Cevede del resguardo indígena Embera Katío del Alto Andágueda zona 1.;11/04/2018;CHOCO
68;55;300;0;0;120;300;180;0;0;241;Agricola;1;AGRICOLA;Más cacao más paz.;16/04/2018;CHOCO
