Id_Usuario;Sexo;Tipo_Poblacional;Discapacidad;Departamento;Municipio;Vereda;Predio;Cadena_Productiva;C1A1;C2A1;C3A1;C4A1;C5A1;C6A1;C7A1;C8A1;C9A1;C10A1;NA1;C1A2;C2A2;C3A2;C4A2;C5A2;C6A2;C7A2;NA2;C1A3;C2A3;C3A3;C4A3;C5A3;NA3;C1A4;C2A4;C3A4;C4A4;NA4;C1A5;C2A5;C3A5;C4A5;NA5;CLAS_GRAL;CADENA_PRODUCTIVA_ADR;ID_ADR;Tipo de proyecto
1;M;NINGUNA;NO;BOLIVAR;13838;CARABALI;PIE DE MONTE;MAIZ;4;4;3;3;3;2;1;1;3;3;2;4;4;3;1;4;1;3;2;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;2;MAIZ;012504;Asistencia Tecnica
4;M;NINGUNA;NO;BOLIVAR;13647;PATON;PATON;MAIZ;4;4;1;1;1;1;1;1;1;1;1;2;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
9;M;NINGUNA;NO;BOLIVAR;13248;La Enea;Sin nombre;MAIZ;2;3;1;2;2;2;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
11;M;NINGUNA;NO;BOLIVAR;13248;La Enea;Sin nombre;MAIZ;2;3;1;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;2;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
14;M;NINGUNA;NO;BOLIVAR;13780;PATICO;LAS PALMAS;MAIZ;4;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
18;M;NINGUNA;NO;BOLIVAR;13780;TALAIGUANUEVO;SAN MARTIN;MAIZ;4;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
22;M;NINGUNA;NO;BOLIVAR;13580;SANTA TERESA;NO HAY COMO DIOS;MAIZ;4;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
23;M;NINGUNA;NO;BOLIVAR;13580;SANTA TERESA;TIERRA BAJA;MAIZ;4;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
24;M;NINGUNA;NO;BOLIVAR;13580;POTOSI;CASA BLANCA;MAIZ;4;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
26;M;NINGUNA;NO;BOLIVAR;13657;SAN JOSE DEL PEÑON;CAÑADA D L VACAS;MAIZ;2;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
29;M;NINGUNA;NO;BOLIVAR;13836;BONANZA;BONANZA 2;MAIZ;2;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;2;1;1;MAIZ;012504;Asistencia Tecnica
33;M;NINGUNA;NO;BOLIVAR;13248;Tasajera;Sin nombre;MAIZ;2;3;1;1;1;2;1;1;1;1;1;4;2;1;1;1;1;1;1;1;1;1;1;2;1;2;2;2;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
34;M;NINGUNA;NO;BOLIVAR;13657;SAN AGUSTIN;LAS DELICIAS;MAIZ;1;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
38;M;NINGUNA;NO;BOLIVAR;13042;LA BONITA -SANTO DOMINGO;LA BONITA;MAIZ;3;2;2;2;2;2;1;2;2;1;1;2;2;2;1;2;1;2;1;2;2;1;1;2;1;2;1;1;1;1;2;2;2;1;1;1;MAIZ;012504;Asistencia Tecnica
49;M;NINGUNA;NO;BOLIVAR;13836;LA GRANJA;LA LINEA;MAIZ;1;3;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;1;2;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
69;M;NINGUNA;NO;BOLIVAR;13473;BRASIL - CABECERA MUNICIPAL;EL TARRO;MAIZ;2;2;2;1;1;1;1;1;2;1;1;1;1;1;1;2;1;1;1;2;2;2;2;2;2;2;1;1;1;1;2;2;2;1;1;1;MAIZ;012504;Asistencia Tecnica
