Código;Descripción del producto;Valor exportado en 2015-M03;Valor exportado en 2015-M04;Valor exportado en 2015-M05;Valor exportado en 2015-M06;Valor exportado en 2015-M07;Valor exportado en 2015-M08;Valor exportado en 2015-M09;Valor exportado en 2015-M10;Valor exportado en 2015-M11;Valor exportado en 2015-M12;Valor exportado en 2016-M01;Valor exportado en 2016-M02;Valor exportado en 2016-M03;Valor exportado en 2016-M04;Valor exportado en 2016-M05;Valor exportado en 2016-M06;Valor exportado en 2016-M07;Valor exportado en 2016-M08;Valor exportado en 2016-M09
'090111;Café sin tostar ni descafeinar;207262;177275;190448;155986;234972;214936;245896;175232;183509;212937;157586;179732;174117;277374;148341;172626;126356;164055;190426
'060319;Flores frescas y capullos, cortados, de una, para ramos o adornos (excepto rosas, claveles, ...;67287;52922;73981;46023;50421;46888;44158;39301;45772;37384;31518;69516;54196;62233;73316;55159;49835;50932;48531
'080390;Plátanos frescos o secos (plátanos excl.);80293;94071;62319;64119;43397;45339;57983;75959;43789;59900;36666;80397;95498;94065;97376;109439;29227;49644;60472
'060312;"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos";15017;17400;22175;15729;16977;14411;17568;16821;19182;16224;17119;22917;16688;15895;20254;17944;16097;16202;15157
'060311;"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas";49031;28520;32087;23059;28377;19706;22647;16502;22378;17775;17116;39877;37437;32264;30277;26760;21115;20643;22009
'060314;"Crisantemos ""flores y capullos"", cortados para ramos o adornos, frescos";15191;11004;15029;10181;12720;10647;11602;9726;12777;10308;13911;13798;10983;13132;13029;14673;11293;10862;12000
'090121;Café tostado sin descafeinar;2417;3677;3179;3252;3659;2616;2915;2854;6515;3997;4619;2730;3434;2697;2798;2614;1765;3886;3730
'080440;"Aguacates ""paltas"", frescos o secos";1123;2100;1080;188;37;259;414;827;1509;1372;2456;3258;3258;4693;3211;1879;1317;970;2141
'081090;Tamarindos frescos, los anacardos, la jaca, litchis, sapotillos, maracuyá, carambola, pitahaya ...;6611;3267;4095;5110;5134;3588;3902;5535;4207;3290;5270;5270;4806;4218;4044;6165;4170;4484;3652
'180690;Chocolate y demás preparaciones alimenticias que contengan cacao, en recipientes o envases ...;4043;6626;4006;2214;2928;3213;1757;5186;4260;1854;5862;19926;5761;1499;1832;1869;1146;2486;2523
'180400;Manteca, grasa y aceite de cacao;661;2675;757;948;1784;1472;842;1813;1172;988;565;2397;1208;2335;1919;1752;2781;4432;1446
'080310;Plátanos frescos o secos;3529;6016;3843;3904;1999;2702;5025;4852;2071;2777;2210;3739;8485;7873;7145;6385;1417;2378;3996
'121190;Plantas, partes de plantas, semillas y frutos de las especies utilizadas principalmente en ...;3291;1466;874;2170;1611;1326;2419;1228;2108;2169;3421;2867;3035;1363;1400;1559;2098;3536;1888
'060390;Secos, blanqueados, teñidos, impregnados o preparados de otro modo las flores y capullos, de ...;414;863;1246;629;957;745;825;733;1256;1110;894;1026;1274;895;745;624;803;588;528
'180310;Pasta de cacao, sin desgrasar;299;846;323;179;1254;821;1158;925;695;525;133;481;764;775;395;511;699;920;398
