,Id_Usuario,Sexo,Tipo_Poblacional,Discapacidad,Departamento,Municipio,Vereda,Predio,Cadena_Productiva,C1A1,C2A1,C3A1,C4A1,C5A1,C6A1,C7A1,C8A1,C9A1,C10A1,NA1,C1A2,C2A2,C3A2,C4A2,C5A2,C6A2,C7A2,NA2,C1A3,C2A3,C3A3,C4A3,C5A3,NA3,C1A4,C2A4,C3A4,C4A4,NA4,C1A5,C2A5,C3A5,C4A5,NA5,CLAS_GRAL,CADENA_PRODUCTIVA_ADR,ID_ADR,Tipo de proyecto
0,1,M,NINGUNA,NO,BOLIVAR,13838,CARABALI,PIE DE MONTE,MAIZ,4,4,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,2,4.0,4.0,3,1.0,4.0,1.0,3.0,2,4,4.0,4.0,4.0,4.0,4,4.0,3.0,3.0,3.0,3,3.0,3.0,3.0,3.0,3,2,MAIZ,12504.0,Asistencia Tecnica
3,4,M,NINGUNA,NO,BOLIVAR,13647,PATON,PATON,MAIZ,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2.0,1.0,1,1.0,2.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
8,9,M,NINGUNA,NO,BOLIVAR,13248,La Enea,Sin nombre,MAIZ,2,3,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1,1.0,1.0,1,2.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,2.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
10,11,M,NINGUNA,NO,BOLIVAR,13248,La Enea,Sin nombre,MAIZ,2,3,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,2.0,1,1.0,2.0,2.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
13,14,M,NINGUNA,NO,BOLIVAR,13780,PATICO,LAS PALMAS,MAIZ,4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
17,18,M,NINGUNA,NO,BOLIVAR,13780,TALAIGUANUEVO,SAN MARTIN,MAIZ,4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
21,22,M,NINGUNA,NO,BOLIVAR,13580,SANTA TERESA,NO HAY COMO DIOS,MAIZ,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
22,23,M,NINGUNA,NO,BOLIVAR,13580,SANTA TERESA,TIERRA BAJA,MAIZ,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
23,24,M,NINGUNA,NO,BOLIVAR,13580,POTOSI,CASA BLANCA,MAIZ,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
25,26,M,NINGUNA,NO,BOLIVAR,13657,SAN JOSE DEL PEÑON,CAÑADA D L VACAS,MAIZ,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,4.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
