Código,Descripción del producto,Mes,value,YYYY,MM,CADENA_PRODUCTIVA_ADR
090111,Café sin tostar ni descafeinar,201503,207262,2015,03,CAFE
060319,"Flores frescas y capullos, cortados, de una, para ramos o adornos (excepto rosas, claveles, ...",201503,67287,2015,03,ASTROMELIA
080390,Plátanos frescos o secos (plátanos excl.),201503,80293,2015,03,PLATANO
060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",201503,15017,2015,03,CLAVEL
060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",201503,49031,2015,03,ROSA
060314,"Crisantemos ""flores y capullos"", cortados para ramos o adornos, frescos",201503,15191,2015,03,CRISANTEMOS
080440,"Aguacates ""paltas"", frescos o secos",201503,1123,2015,03,AGUACATE
081090,"Tamarindos frescos, los anacardos, la jaca, litchis, sapotillos, maracuyá, carambola, pitahaya ...",201503,6611,2015,03,PITAHAYA
180310,"Pasta de cacao, sin desgrasar",201503,299,2015,03,CACAO
080430,"Piñas ""ananás"", frescas o secas",201503,142,2015,03,PIÑA
100510,Semillas de maíz para la siembra,201503,2508,2015,03,MAIZ
071340,"Lentejas secas desvainadas, aunque estén mondadas o partidas",201503,1,2015,03,LENTEJA
060315,"Lirios frescos cortados ""Lilium spp."" y las yemas, de una, para ramos o adornos",201503,0,2015,03,ANTURIO
081340,"Melocotones, incl. los griñones y nectarinas, peras, papayas, tamarindos y demás frutos comestibles, ...",201503,482,2015,03,ANON
080450,"Guayabas, mangos y mangostanes, frescos o secos",201503,138,2015,03,GUAYABA
080510,"Naranjas, frescas o secas",201503,444,2015,03,NARANJA
071410,"Raíces de mandioca ""yuca"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...",201503,62,2015,03,BATATA
081010,"Fresas ""frutillas"", frescas",201503,10,2015,03,FRESA
090210,"Té verde sin fermentar, presentado en envases inmediatos con un contenido <= 3 kg",201503,34,2015,03,TE
060290,"Plantas vivas, incl. sus raíces, y micelios (exc. bulbos, cebollas, tubérculos, raíces y bulbos ...",201503,62,2015,03,PLANTULAS
100850,"Quinua ""Chenopodium quinoa""",201503,0,2015,03,QUINUA
070959,"Setas y demás hongos, comestibles, frescas o refrigeradas (exc. hongos del género ""Agaricus"" ...",201503,232,2015,03,CHAMPIÑON
070511,"Lechugas repolladas, frescas o refrigeradas",201503,9,2015,03,ACHICORIA
070320,Ajos frescos o refrigerados,201503,215,2015,03,AJO
070200,Tomates frescos o refrigerados,201503,9,2015,03,TOMATE
070960,"Frutos de las géneros ""Capsicum"" o ""Pimenta"", frescos o refrigerados",201503,3,2015,03,AJI
070190,"Patatas ""papas"" frescas o refrigeradas (exc. las de siembra)",201503,4,2015,03,PAPA
080420,"Higos, frescos o secos",201503,11,2015,03,HIGO
080940,"Ciruelas y endrinas, frescas",201503,1,2015,03,CIRUELA
070390,"Puerros y demás hortalizas aliáceas, incl. ""silvestres"", frescos o refrigerados (exc. cebollas, ...",201503,7,2015,03,PUERRO
080719,"Melones, frescos (exc. sandías)",201503,5,2015,03,MELON
070993,"Calabazas frescas o refrigeradas, la calabaza y calabazas ""Cucurbita spp.""",201503,1,2015,03,AHUYAMA
080520,"Mandarinas, incl. las tangerinas y satsumas; clementinas, wilkings e híbridos simil. de agrios ...",201503,0,2015,03,MANDARINA
080720,"Papayas, frescas",201503,0,2015,03,PAPAYA
070610,"Zanahorias y nabos, frescos o refrigerados (exc. remolachas para ensalada)",201503,0,2015,03,NABO
120740,"Semilla de sésamo ""ajonjolí"", incl. quebrantada",201503,0,2015,03,AJONJOLI
140190,"Caña, junco, mimbre, rafia, paja de cereales, limpiada, blanqueada o teñida, corteza de tilo ...",201503,0,2015,03,ESPARTO
