Subclase,Índice,Mes,Año,Cultivo
ARROZ,143.91,5,2020,ARROZ
AVENA Y SUS DERIVADOS,97.79,5,2020,AVENA
TRIGO Y SUS DERIVADOS,107.85,5,2020,TRIGO
MAIZ Y SUS DERIVADOS,112.8,5,2020,MAIZ
NARANJAS,139.58,5,2020,NARANJA
BANANOS,128.69,5,2020,BANANO
TOMATE DE ARBOL,124.31,5,2020,TOMATE DE ARBOL
MORAS,123.78,5,2020,MORA
PLATANOS,112.76,5,2020,PLATANO
PAPAS,114.76,5,2020,PAPA
YUCA PARA CONSUMO EN EL HOGAR,89.96,5,2020,YUCA
"ARRACACHA, ÑAME Y OTROS TUBERCULOS",122.27,5,2020,ÑAME
TOMATE,110.43,5,2020,TOMATE
CEBOLLA,111.02,5,2020,CEBOLLA
ZANAHORIA,147.91,5,2020,ZANAHORIA
"OTROS ALIMENTOS PRECOCIDOS Y PREPARADOS: AJIACO, LENTEJA, FRIJOL, LECHONA ENLATADA Y SIMILARES",105.67,5,2020,LENTEJA
ARROZ,142.8,4,2020,ARROZ
AVENA Y SUS DERIVADOS,96.75,4,2020,AVENA
TRIGO Y SUS DERIVADOS,106.99,4,2020,TRIGO
MAIZ Y SUS DERIVADOS,112.06,4,2020,MAIZ
NARANJAS,151.75,4,2020,NARANJA
BANANOS,127.7,4,2020,BANANO
TOMATE DE ARBOL,123.96,4,2020,TOMATE DE ARBOL
MORAS,121.67,4,2020,MORA
PLATANOS,109.75,4,2020,PLATANO
PAPAS,111.79,4,2020,PAPA
YUCA PARA CONSUMO EN EL HOGAR,92.2,4,2020,YUCA
"ARRACACHA, ÑAME Y OTROS TUBERCULOS",119.61,4,2020,ÑAME
TOMATE,119.12,4,2020,TOMATE
CEBOLLA,106.51,4,2020,CEBOLLA
ZANAHORIA,134.26,4,2020,ZANAHORIA
"OTROS ALIMENTOS PRECOCIDOS Y PREPARADOS: AJIACO, LENTEJA, FRIJOL, LECHONA ENLATADA Y SIMILARES",105.19,4,2020,LENTEJA
ARROZ,137.27,3,2020,ARROZ
AVENA Y SUS DERIVADOS,95.71,3,2020,AVENA
TRIGO Y SUS DERIVADOS,105.17,3,2020,TRIGO
MAIZ Y SUS DERIVADOS,110.98,3,2020,MAIZ
NARANJAS,140.07,3,2020,NARANJA
BANANOS,119.68,3,2020,BANANO
TOMATE DE ARBOL,112.63,3,2020,TOMATE DE ARBOL
MORAS,119.51,3,2020,MORA
PLATANOS,95.93,3,2020,PLATANO
PAPAS,107.22,3,2020,PAPA
YUCA PARA CONSUMO EN EL HOGAR,92.05,3,2020,YUCA
"ARRACACHA, ÑAME Y OTROS TUBERCULOS",113.9,3,2020,ÑAME
TOMATE,130.46,3,2020,TOMATE
CEBOLLA,94.59,3,2020,CEBOLLA
ZANAHORIA,136.19,3,2020,ZANAHORIA
"OTROS ALIMENTOS PRECOCIDOS Y PREPARADOS: AJIACO, LENTEJA, FRIJOL, LECHONA ENLATADA Y SIMILARES",103.0,3,2020,LENTEJA
ARROZ,133.29,2,2020,ARROZ
AVENA Y SUS DERIVADOS,95.48,2,2020,AVENA
TRIGO Y SUS DERIVADOS,104.27,2,2020,TRIGO
