DEPARTAMENTO,MUNICIPIO,Total beneficiarios,Valor cofinanciación,Valor Contrapartida,YEAR,CP,CICLO_CULTIVO,RENDIMIENTO,PRODUCTIVIDAD
META,MESETAS,40,500000000,106600000,2017,CAFE,PERMANENTE,1.35,0.8667163067758749
ANTIOQUIA,DABEIBA,25,401373250,355140000,2017,PLATANO,PERMANENTE,12.0,0.8235294117647058
ANTIOQUIA,DABEIBA,25,401373250,355140000,2017,PLATANO,PERMANENTE,12.0,0.8235294117647058
META,LA MACARENA,28,255000000,41570000,2017,CAUCHO,PERMANENTE,,0.0
CAUCA,CALDONO,51,501204000,99735000,2017,CAFE,PERMANENTE,1.26,0.8171977124183006
CALDAS,RISARALDA,50,500000000,130250000,2016,CAFE,PERMANENTE,1.35,0.7267794446217682
CALDAS,RISARALDA,50,500000000,130250000,2016,CAFE,PERMANENTE,1.35,0.7267794446217682
META,FUENTE DE ORO,47,390795000,346040371,2016,PLATANO,PERMANENTE,19.0,0.5841708542713567
HUILA,RIVERA,35,362280400,105972405,2017,CAFE,PERMANENTE,1.1,0.8344549125168237
HUILA,GIGANTE,41,412121840,82612500,2017,CAFE,PERMANENTE,1.05,0.7925009100837277
BOLIVAR,CLEMENCIA,200,2000000000,575750000,2017,PLATANO,PERMANENTE,7.0,0.8333333333333334
HUILA,PITALITO,70,232852000,1225999000,2017,CAFE,PERMANENTE,1.11,0.836232980332829
HUILA,PITALITO,70,232852000,1225999000,2017,CAFE,PERMANENTE,1.11,0.836232980332829
HUILA,ACEVEDO,55,392075000,80075000,2017,CAFE,PERMANENTE,1.11,0.8286151491966335
HUILA,NEIVA,45,320175000,56233000,2017,CAFE,PERMANENTE,1.01,0.8470104091019124
CHOCO,RIOSUCIO,40,729547396,334850000,2017,PLATANO,PERMANENTE,16.12,0.9523809523809523
HUILA,PITALITO,60,500057000,95908000,2017,CAFE,PERMANENTE,1.11,0.836232980332829
NORTE DE SANTANDER,LA ESPERANZA,54,373952000,307280000,2017,PLATANO,PERMANENTE,10.0,1.0
NORTE DE SANTANDER,LA ESPERANZA,54,373952000,307280000,2017,PLATANO,PERMANENTE,10.0,1.0
VALLE DEL CAUCA,TULUA,20,40000000,18512500,2015,REPOLLO,TRANSITORIO,16.0,1.0
VALLE DEL CAUCA,GINEBRA,20,40000000,17155000,2015,CAÑA AZUCARERA,PERMANENTE,112.77,0.8588605782994561
VALLE DEL CAUCA,BUGALAGRANDE,20,40000000,34144000,2015,MARACUYA,PERMANENTE,12.0,1.0
VALLE DEL CAUCA,BUGALAGRANDE,28,56000000,36533750,2015,MARACUYA,PERMANENTE,12.0,1.0
TOLIMA,VENADILLO,8,30912000,24981000,2015,MANGO,PERMANENTE,15.0,0.7777777777777778
TOLIMA,IBAGUE,4,15456000,2940000,2015,BANANO,PERMANENTE,17.3,0.8837209302325582
TOLIMA,CHAPARRAL,92,355488000,96587500,2015,GUANABANA,PERMANENTE,9.0,1.0
TOLIMA,CHAPARRAL,192,425992000,281880000,2015,GUANABANA,PERMANENTE,9.0,1.0
RISARALDA,PUEBLO RICO,88,283359700,174820000,2015,CAÑA PANELERA,PERMANENTE,6.0,0.9598393574297188
PUTUMAYO,VILLAGARZON,60,0,0,2015,YUCA,ANUAL,7.0,0.8
PUTUMAYO,SIBUNDOY,240,773220000,211450000,2015,LULO,PERMANENTE,13.0,1.0
PUTUMAYO,SAN MIGUEL,80,195996100,85920619,2015,BANANITO,PERMANENTE,8.0,0.9183673469387755
PUTUMAYO,PUERTO ASIS,40,0,0,2015,CAÑA PANELERA,PERMANENTE,4.0,1.0
PUTUMAYO,ORITO,96,0,0,2015,PIÑA,PERMANENTE,35.0,0.7777777777777778
NORTE DE SANTANDER,TIBU,28,108192000,42600000,2015,ARROZ,TRANSITORIO,4.545,0.9373874827914858
NORTE DE SANTANDER,TIBU,196,757344000,286950000,2015,ARROZ,TRANSITORIO,4.545,0.9373874827914858
NORTE DE SANTANDER,TIBU,24,77280000,36700000,2015,ARROZ,TRANSITORIO,4.545,0.9373874827914858
NORTE DE SANTANDER,TIBU,20,64400000,31775000,2015,ARROZ,TRANSITORIO,4.545,0.9373874827914858
NORTE DE SANTANDER,TIBU,48,185472000,70350000,2015,ARROZ,TRANSITORIO,4.545,0.9373874827914858
NORTE DE SANTANDER,TEORAMA,28,90160000,88861500,2015,LULO,PERMANENTE,10.0,1.0
NORTE DE SANTANDER,TEORAMA,76,293664000,241195500,2015,LULO,PERMANENTE,10.0,1.0
NORTE DE SANTANDER,TEORAMA,48,154560000,128520000,2015,LULO,PERMANENTE,10.0,1.0
NORTE DE SANTANDER,TEORAMA,76,293664000,245185500,2015,LULO,PERMANENTE,10.0,1.0
NORTE DE SANTANDER,SARDINATA,44,170016000,62075000,2015,TOMATE,TRANSITORIO,15.0,0.5833333333333333
NORTE DE SANTANDER,SAN CALIXTO,76,293664000,161310000,2015,NARANJA,PERMANENTE,5.0,1.0
NORTE DE SANTANDER,SAN CALIXTO,60,231840000,128250000,2015,NARANJA,PERMANENTE,5.0,1.0
NORTE DE SANTANDER,SAN CALIXTO,8,25760000,17100000,2015,NARANJA,PERMANENTE,5.0,1.0
NORTE DE SANTANDER,SAN CALIXTO,16,51520000,33960000,2015,NARANJA,PERMANENTE,5.0,1.0
NORTE DE SANTANDER,SAN CALIXTO,100,386400000,213750000,2015,NARANJA,PERMANENTE,5.0,1.0
NORTE DE SANTANDER,SAN CALIXTO,36,139104000,76950000,2015,NARANJA,PERMANENTE,5.0,1.0
NORTE DE SANTANDER,SAN CALIXTO,52,167440000,111150000,2015,NARANJA,PERMANENTE,5.0,1.0
NORTE DE SANTANDER,OCAÑA,116,448224000,143550000,2015,CEBOLLA DE RAMA,TRANSITORIO,20.0,1.0
NORTE DE SANTANDER,OCAÑA,20,77280000,24750000,2015,CEBOLLA DE RAMA,TRANSITORIO,20.0,1.0
NORTE DE SANTANDER,LA PLAYA,72,231840000,89100000,2015,CEBOLLA DE BULBO,TRANSITORIO,17.494999999999997,1.0
NORTE DE SANTANDER,LA PLAYA,16,61824000,19800000,2015,CEBOLLA DE BULBO,TRANSITORIO,17.494999999999997,1.0
NORTE DE SANTANDER,HACARI,24,77280000,45540000,2015,CEBOLLA DE BULBO,TRANSITORIO,12.5,0.9398268398268398
NORTE DE SANTANDER,HACARI,8,30912000,15180000,2015,CEBOLLA DE BULBO,TRANSITORIO,12.5,0.9398268398268398
NORTE DE SANTANDER,EL TARRA,12,46368000,12450000,2015,PLATANO,PERMANENTE,8.0,1.0
NORTE DE SANTANDER,EL TARRA,16,51520000,23160000,2015,PLATANO,PERMANENTE,8.0,1.0
NORTE DE SANTANDER,CONVENCION,20,77280000,51279000,2015,YUCA,ANUAL,15.0,1.0
NORTE DE SANTANDER,CONVENCION,20,64400000,42450000,2015,YUCA,ANUAL,15.0,1.0
NORTE DE SANTANDER,CONVENCION,36,139104000,76410000,2015,YUCA,ANUAL,15.0,1.0
NORTE DE SANTANDER,CONVENCION,76,293664000,196626000,2015,YUCA,ANUAL,15.0,1.0
NORTE DE SANTANDER,CONVENCION,44,141680000,93390000,2015,YUCA,ANUAL,15.0,1.0
NORTE DE SANTANDER,ABREGO,84,270480000,128860000,2015,TOMATE,TRANSITORIO,16.5,1.0
NARIÃ‘O,TANGUA,120,386374400,132336000,2015,ULLUCO,TRANSITORIO,4.5,0.75
NARIÃ‘O,IMUES,112,270378800,76770000,2015,TOMATE,TRANSITORIO,50.0,1.0
NARIÃ‘O,ILES,76,244272800,62912000,2015,PAPA,TRANSITORIO,15.5,0.950455486542443
NARIÃ‘O,FUNES,180,405000000,172800000,2015,MAIZ,TRANSITORIO,1.75,1.0
META,PUERTO LOPEZ,300,966000000,362250000,2015,PIÑA,PERMANENTE,40.0,0.5283018867924528
CESAR,BECERRIL,32,80000000,45855000,2015,MANGO,PERMANENTE,6.0,0.9594594594594594
CAUCA,SUAREZ,36,81000000,17118750,2015,NARANJA,PERMANENTE,13.0,1.0
CAUCA,SUAREZ,24,77280000,28515600,2015,NARANJA,PERMANENTE,13.0,1.0
CAUCA,SUAREZ,64,206080000,76832000,2015,NARANJA,PERMANENTE,13.0,1.0
CAUCA,SUAREZ,8,25760000,4790000,2015,NARANJA,PERMANENTE,13.0,1.0
CAUCA,SUAREZ,20,64400000,66980000,2015,NARANJA,PERMANENTE,13.0,1.0
