,BP,Departamento,Hombres,Mujeres,Total Víctimas,Valor total cofinanciación ADR,Valor Contrapartida,Hectáreas,Vigencia,CADENA_PRODUCTIVA_ADR
0,6,CHOCO,30,5,0,250000000,513500000,100,2017,PLATANO
1,17,META,31,9,0,500000000,106600000,40,2017,CAFE
2,23,ANTIOQUIA,20,5,23,401373250,355140000,69,2017,PLATANO
3,23,ANTIOQUIA,20,5,23,401373250,355140000,69,2017,PLATANO
4,25,META,16,12,10,255000000,41570000,93,2017,CAUCHO
5,31,CAUCA,40,11,6,501204000,99735000,51,2017,CAFE
6,44,CHOCO,52,21,48,346452142,524040000,73,2017,PLATANO
7,44,CHOCO,52,21,48,346452142,524040000,73,2017,PLATANO
8,44,CHOCO,52,21,48,346452142,524040000,73,2017,PLATANO
9,48,CAUCA,17,3,9,197000000,71010000,5,2016,TOMATE
10,48,CAUCA,17,3,9,197000000,71010000,5,2016,TOMATE
11,48,CAUCA,17,3,9,197000000,71010000,5,2016,TOMATE
12,49,ATLANTICO,103,37,15,1505613100,350547400,140,2017,MANGO
13,66,CAUCA,13,3,13,410400000,189208102,51,2016,TOMATE
14,66,CAUCA,13,3,13,410400000,189208102,51,2016,TOMATE
15,66,CAUCA,13,3,13,410400000,189208102,51,2016,TOMATE
16,66,CAUCA,13,3,13,410400000,189208102,51,2016,TOMATE
17,66,CAUCA,13,3,13,410400000,189208102,51,2016,TOMATE
18,68,CHOCO,180,120,241,1500000000,1632000000,300,2017,CACAO
19,77,CHOCO,55,17,12,278014950,134900000,55,2017,PLATANO
20,77,CHOCO,55,17,12,278014950,134900000,55,2017,PLATANO
21,80,CALDAS,37,13,0,500000000,130250000,50,2016,CAFE
22,80,CALDAS,37,13,0,500000000,130250000,50,2016,CAFE
23,81,CALDAS,41,9,10,500000000,130250000,50,2016,CAFE
24,81,CALDAS,41,9,10,500000000,130250000,50,2016,CAFE
25,90,MAGDALENA,128,32,65,1500000000,336000000,160,2017,ÑAME
26,94,NARIÑO,31,9,9,434216599,139320000,40,2016,CAFE
27,100,CORDOBA,36,30,13,999993000,122760000,66,2017,PLATANO
28,101,META,4,43,17,390795000,346040371,47,2016,PLATANO
29,102,NARIÑO,21,11,3,500000000,106272000,16,2016,MORA
