Nombre Proyecto;Departamento;Municipio;Total beneficiarios;Hombres;Mujeres;Linea Productiva;Tipo de Figura Jurídica;Nombre del solicitante;Telefono solicitante;E-mail solicitante
SOLICITUD FOMENTO ASOCIATIVO 2019;CUNDINAMARCA;SOPO ;10;5;5;SACHA INCHI ;NO SABE;Anonimizado;Anonimizado;Anonimizado
SOLICITUD FOMENTO ASOCIATIVO 2019;QUINDIO ;CÓRDOBA;13;6;7;;Pre-coopertaiva ;Anonimizado;Anonimizado;Anonimizado
SOLICITUD FOMENTO ASOCIATIVO 2019;CUNDINAMARCA;PACHO;14;7;7;PECUARIA- LECHE;Cooperativa;Anonimizado;Anonimizado;Anonimizado
SOLICITUD FOMENTO ASOCIATIVO 2019;CUNDINAMARCA;JUNIN;18;9;9;GANADERIA, ESPECIES MENORES Y APICULTURA.;NO SABE;Anonimizado;Anonimizado;Anonimizado
SOLICITUD FOMENTO ASOCIATIVO 2019;BOLIVAR ;TIQUISIO ;40;15;25;YUCA, MAIZ ARROZ, GUINEO ;NO SABE;Anonimizado;Anonimizado;Anonimizado
SOLICITUD FOMENTO ASOCIATIVO 2019;BOYACA;SAMACA;15;14;1;CEBOLLA, PAPA, ARBEJA Y HORTALIZAS;ASOCIACIÓN O COOPERATIVA;Anonimizado;Anonimizado;Anonimizado
SOLICITUD FOMENTO ASOCIATIVO 2019;BOYACA;SAMACA;131;98;33;CEBOLLA, ARBEJA Y FRIJOL;ASOCIACIÓN;Anonimizado;Anonimizado;Anonimizado
SOLICITUD FOMENTO ASOCIATIVO 2019;BOYACA;SAMACA;15;10;5;CEBOLLA, PAPA, ARBEJA ;ASOCIACIÓN O COOPERATIVA;Anonimizado;Anonimizado;Anonimizado
SOLICITUD FOMENTO ASOCIATIVO 2019;BOLIVAR ;MARIA LA BAJA BOLIVAR;12;5;7;APICULTURA Y AGRICULTURA;NO SABE;Anonimizado;Anonimizado;Anonimizado
SOLICITUD FOMENTO ASOCIATIVO 2019;BOYACA;SACHICA;15;8;7;TOMATE,CEBOLLA Y PIMENTÓN;ASOCIACIÓN;Anonimizado;Anonimizado;Anonimizado
SOLICITUD FOMENTO ASOCIATIVO 2019;BOYACA;SACHICA;30;5;25;TOMATE, CEBOLLA, HORTALIZAS, AGUACATE;ASOCIACIÓN AGROPECUARIA O PRECOOPERATIVA;Anonimizado;Anonimizado;Anonimizado
SOLICITUD FOMENTO ASOCIATIVO 2019;BOYACA;SACHICA;10;5;5;TOMATE Y CEBOLLA CABEZONA;ASOCIACIÓN;Anonimizado;Anonimizado;Anonimizado
SOLICITUD FOMENTO ASOCIATIVO 2019;GUAJIRA;BARRANCAS- RESGUARDO INDIGENA NUEVO ESPINAL ;30;11;19;OVINOS Y CAPRINOS;ASOCIACIÓN ;Anonimizado;Anonimizado;Anonimizado
SOLICITUD FOMENTO ASOCIATIVO 2019;SANTANDER;BARICHARA;80;40;40;CITRICOS;ASOCIACIÓN O COOPERATIVA;Anonimizado;Anonimizado;Anonimizado
SOLICITUD FOMENTO ASOCIATIVO 2019;SANTANDER;BARICHARA;38;0;38;CITRICOS, CAFÉ, POLLOS Y CERDOS;ASOCIACIÓN;Anonimizado;Anonimizado;Anonimizado
SOLICITUD FOMENTO ASOCIATIVO 2019;RISARALDA;PUEBLO RICO;72;32;40;CAÑA PANELERA Y ARTESANIAS;ASOCIACIÓN;Anonimizado;Anonimizado;Anonimizado
SOLICITUD FOMENTO ASOCIATIVO 2019;QUINDIO ;GENOVA;28;13;15;DERIVADOS DEL LACTEO Y PRODUCCIÓN AGROPECUARIA;ASOCIACIÓN DE MERCADOS CAMPESINOS AGROPECUARIOS;Anonimizado;Anonimizado;Anonimizado
ASODAMAS;TOLIMA;CASABIANCA;30;;;CALCETA DE PLATANO Y CAFE ESPECIALE;"ASOCIACIÓN  O COOPERATIVA , QUE SEA 
MULTIACTIVA";Anonimizado;Anonimizado;Anonimizado
ASODAMAS;NARIÑO;SAPUYES;15;;;ESPECIES MENORES, GALLINAS,CERDOS,HUERTA CASERA;ASOCIACIÓN;Anonimizado;Anonimizado;Anonimizado
"FUNCIONARIO DE 
SEGUIMIENTO Y CONTROL  ADR";CHOCO;PROVINCIA DE SAN JUAN ;40;;;CAÑA, YUCA Y PLATANO ;NO SABE ,  REQUIERE CAPACITACIÓN Y ASESORAMIENTO.;Anonimizado;Anonimizado;Anonimizado
"FUENTE ESCUELAS DE ASOCIATIVIDAD 2019.
SEÑOR CARLOS BERNAL  HACE PARTE DE LA COOPERATIVA COORDILLANOS, SE REALIZO COMUNICACIÓN CON ÉL Y ENTREGO EL CONTACTO DE LA SEÑORA  LYDIS MAYERLING HERRERA GARCÍA";META;PUERTO LOPEZ;;;;SACHA INCHI;;Anonimizado;Anonimizado;Anonimizado
LiIDER DELA DIRECCIÓN DE LA DPA;NARIÑO;SANTA CRUZ;;;;GRANADILLA, AGUACATE , LULO TOMATE;;Anonimizado;Anonimizado;Anonimizado
"FUENTE ESCUELAS DE ASOCIATIVIDAD
DOCTORA STELLA RINCIÓN";META;CUBARRAL;;;;CAFÉ Y CACAO;ASOCIACIÓN;Anonimizado;Anonimizado;Anonimizado
"SOLICITUD POR PQRSD
";CUNDINAMARCA ; GUAYABAL DE SITIMA CUNDINAMARCA;30;;;"
CUNDINAMARCA CAFÉ CAÑA Y GALPONES"; CONSULTARON  LA CREACIÓN DE EMPRESAS COMUNITRIAS.TAMBIEN HAN CONTEMPLADO LA ASOCIACIÓN.;Anonimizado;Anonimizado;Anonimizado
"SOLICITUD POR PQRSD
";SANTANDER;PUENTE NACIONAL ;30;;;"GALPONES,  FRUTOS NARANJAS TUBERCULOS
"; CONSULTARON  LA CREACIÓN DE EMPRESAS COMUNITRIAS.TAMBIEN HAN CONTEMPLADO LA ASOCIACIÓN.;Anonimizado;Anonimizado;Anonimizado
REMITIDO POR LAURA RESTREPO-DESPACHO PRESIDENCIA ADR;CUNDINAMARCA;GUASCA;15;;;FRESAS, ZANAHORIA, CHAMPIÑONES, CEBOLLA, PANELA;;Anonimizado;Anonimizado;Anonimizado
SOLICITUD;BOYACA;OTANCHE;20;;;CACAO, CAFÉ, PLATANO, MIEL, CITRICOS, GANADERIAS;ESPERAN ACESORAMIENTO ;Anonimizado;Anonimizado;Anonimizado
CAAID - FE EN COLOMBIA;CUNDINAMARCA;SAN GABRIEL;4000;;;PLATANO, BANANO, MORA,  FRUTALES, HUEVOS CAMPESINOS Y PORCICULTURA.;NO SABE ,  REQUIEREN  ASESORIA;Anonimizado;Anonimizado;Anonimizado
DIANA MORENO,MERCADO CAMPESINO AQUITANIA  BOYACA 2019;BOYACA;TOTA;20;;;LECHE ;ASOCIACIÓN;Anonimizado;Anonimizado;Anonimizado
REFERENCIADO POR EL DOCTOR DIEGO ACOSTA; SUR  DE CORDOBA;PUERTO LIBERTADOR;20;;;PRODUCEN ARROZ, TAMBIÉN ESTÁN GESTIONANDO CON EL BANCO AGRARIO PARA SEMBRAR MAÍZ  Y YUCA;ASOCIACIÓN;Anonimizado;Anonimizado;Anonimizado
REFERENCIADO POR OLGA AGUDELO , POR MEDIO DEL SEÑOR  RAMIRO FERNANADEZ ACESOR DE LA ALCALDIA DORAINE MONA  QUIEN TRABAJA LA ALCALDIA ENVIÓ  DIO  LOS CONTACTOS ;CORDOBA;CIENAGA DE ORO;1009;;;;;Anonimizado;Anonimizado;Anonimizado
REFERENCIADO POR OLGA AGUDELO , POR MEDIO DEL ASESOR DEL MINISTERIO, RAMIRO FERNANADEZ QUIEN  FACILITO EL CONTACTO DEL ALCALDE ;MAGDALENA;SANTA BARBARA DE PINTO;;;;;;Anonimizado;Anonimizado;Anonimizado
