BP,No. VP,Nombre Proyecto,Departamento,Municipio,Total beneficiarios,Hombres,Mujeres,Total Víctimas,Valor cofinanciado ADR,Valor encargo fiduciario,Valor total cofinanciación ADR,Valor Contrapartida,Valor total proyecto,Hectáreas,Resolución,Fecha resolución,Vigencia,Lineamiento de consejo directivo
1,1,"Implementar un sistema de ganadería silvopastoril, doble propósito con la compra de 60 hembras preñadas (girolando 5/8H 3/8G), mejoramiento de praderas, elaboración de silo y mejoramiento genético mediante inseminación artificial, en la inspección de Guayabal en el municipio de San Vicente del Caguán",CAQUETA,SAN VICENTE DEL CAGUÁN,46,26,20,0,534000000,N/A,534000000,115640000,649640000,40,1220,06/29/2018 12:00:00 AM,2017,N/A
2,2,"Fortalecimiento del cultivo de arroz y caña panelera, con la implementación de tecnologías a partir de la dotación de maquinaria agrícola en el corregimento de Llorente en el municipio de Tumaco - Nariño",NARIÑO,SAN ANDRÉS DE TUMACO,19,7,12,0,185000000,N/A,185000000,265082460,450082460,64,1234,07/06/2017 12:00:00 AM,2017,N/A
3,3,Implementar un modelo piscícola para la producción de tilapia roja bajo el sistema de BIOFLOC en la vereda Miravalle en el municipio de San Vicente del Caguán,CAQUETA,SAN VICENTE DEL CAGUÁN,52,36,16,31,905900513,N/A,905900513,104748820,1010649333,1,1322,08/15/2017 12:00:00 AM,2017,N/A
4,4,Mejorar las capacidades productivas para la agregación de valor mediante el mejoramiento de la infraestructura de riego y la asesoría técnica a pequeños y medianos productores en el municipio de Zona Bananera del Departamento de Magdalena,MAGDALENA,ZONA BANANERA,150,121,29,0,2948347650,N/A,2948347650,665760350,3614108000,411,1307,08/04/2017 12:00:00 AM,2017,N/A
5,5,Mejorar las capacidades productivas de 97 familias caficultoras mediante la dotación de equipos para el beneficio de café de los resguardos La Paila y Pueblo Nuevo en Buenos Aires Cauca,CAUCA,BUENOS AIRES,97,76,21,0,500000000,N/A,500000000,581106000,1081106000,98,1215,06/29/2017 12:00:00 AM,2017,N/A
6,6,"Mejorar las capacidades técnicas de adecuación, siembra y sostenimiento de plátano para la construcción de paz, beneficiando 35 familias en el municipio de Carmen del Darién - Chocó",CHOCO,CARMEN DEL DARIÉN,35,30,5,0,250000000,N/A,250000000,513500000,763500000,100,1219,06/29/2017 12:00:00 AM,2017,N/A
7,7,"Dotar de uno (1) tractor 80-90 HP 4WD para el fortalecimiento de la producción del cultivo de la yuca a través de la implementación de tecnología a la asociación La Esperanza KM 52 ubicada en las veredas El Gualtal, La Variante y el Pulgan del municipio de Tumaco Departamento de Nariño",NARIÑO,SAN ANDRÉS DE TUMACO,27,16,11,0,175000000,N/A,175000000,131854753,306854753,27,1216,06/29/2017 12:00:00 AM,2017,N/A
8,8,"Fortalecer la producción piscícola de acuicultores de recursos limitados (AREL), mediante el suministro de insumos y equipos básicos para incrementar el rendimiento y la comercialización en vivo de cachama blanca, en el municipio de Tumaco, Nariño",NARIÑO,SAN ANDRÉS DE TUMACO,25,21,4,16,180000000,N/A,180000000,33075000,213075000,19,1267,07/19/2017 12:00:00 AM,2017,N/A
9,9,"Mejoramiento socioeconómico para la construcción de paz en las comunidades del municipio de Riosucio Chocó a través del apoyo a la línea productiva de plátano con la compra de camiones, herramientas y equipos especializados para el transporte de fruta de primera",CHOCO,RIOSUCIO,30,18,12,0,278000000,N/A,278000000,163200000,441200000,150,1300,08/04/2017 12:00:00 AM,2017,N/A
10,10,"Fortalecimiento de la capacidad productiva de 77 pequeños productores de leche ubicados en la Zona La Plancha, del municipio de Anorí - Antioquia",ANTIOQUIA,ANORÍ,77,67,10,40,300533500,N/A,300533500,1314390000,1614923500,77,1305,08/04/2017 12:00:00 AM,2017,N/A
11,11,"Fortalecer el sector ganadero en el municipio de Tibú, mediante la compra de un banco de maquinaria agropecuaria (un tractor con sus respectivos implementos, máquinas pica pastos) con el propósito de realizar la renovación de 495 hectáreas de praderas de 27 productores pertenecientes a la Asociación de Ganaderos del Catatumbo ASOPROGAC",N_DE_SANTANDER,TIBÚ,27,21,6,9,251600000,N/A,251600000,481257000,732857000,495,1306,08/04/2017 12:00:00 AM,2017,N/A
12,12,"Fortalecer la línea productiva ganadería doble propósito, mediante el mejoramiento tecnológico y productivo de praderas para beneficiar pequeños y medianos ganaderos en las veredas de Aguazul, San José, Santa Teresa, La Esperanza, Altamira, Palestina y Los Medios en el municipio La Macarena Departamento del Meta",META,LA MACARENA,32,16,16,0,250000000,N/A,250000000,90480000,340480000,128,1218,06/29/2017 12:00:00 AM,2017,N/A
13,13,"Mejoramiento de las capacidades de comercialización de plátano, arroz, carne de cerdo y pollo, mediante la dotación de 1 equipo de secado y 1 para empacado de arroz, 7 embarcaciones, 8 motores fuera de borda, 6 plantas eléctricas y 6 congeladores, para el beneficio de 60 familias de pequeños productores en el municipio de Vigía del Fuerte, departamento de Antioquia",ANTIOQUIA,VIGÍA DEL FUERTE,60,29,31,0,459683250,N/A,459683250,105160125,564843375,1210,1299,08/04/2017 12:00:00 AM,2017,N/A
14,14,"Fortalecimiento de las capacidades productivas de 49 pequeños productores ganaderos de leche del municipio de Anorí, Antioquia; mediante la dotación de equipos para la transformación de leche en queso tipo mozarella",ANTIOQUIA,ANORÍ,49,47,2,20,176999998,N/A,176999998,1197250347,1374250345,2897,1268,07/19/2017 12:00:00 AM,2017,N/A
15,15,"Fortalecimiento al centro de acopio lechero en beneficio de la Asociación de Ganaderos Ecológicos del Guaviare ""ASOGEG"" en el municipio de San José del Guaviare",GUAVIARE,SAN JOSÉ DEL GUAVIARE,30,23,7,0,145372000,N/A,145372000,19515000,164887000,0,1221,06/29/2017 12:00:00 AM,2017,N/A
16,16,"Fortalecer el sistema productivo de café variedad Castillo Tambo en asocio con aguacate Hass y manejo de post-cosecha en 46 unidades productivas de las veredas Nacederos, El Cerro, Buenavista, Sión y Buena Esperanza del municipio de Policarpa - Departamento de Nariño.",NARIÑO,POLICARPA,46,32,14,36,534212400,N/A,534212400,131501500,665713900,60,1491,10/30/2017 12:00:00 AM,2017,N/A
17,17,"Fortalecer la capacidad productiva y manejo de poscosecha mediante el establecimiento de 20 ha variedad resistente a roya, sostenimiento de 20 has de café variedad Colombia, adquisición de cuarenta beneficiaderos ecológicos y la dotación de dos equipos de laboratorio para la Asociación de Caficultores de la Macarena y Sumapaz para el año 2017 en el municipio de Mesetas - Meta.",META,MESETAS,40,31,9,0,500000000,N/A,500000000,106600000,606600000,40,1250,07/12/2017 12:00:00 AM,2017,N/A
18,18,"Dotación de banco de maquinaria y elementos para el establecimiento de un sistema silvopastoril para el mejoramiento de la cadena productiva de leche, para medianos y pequeños ganaderos de las veredas de Charras, Charrasquera, Unión de buenos aires, Caño negro, Caño danta ubicadas en el municipio de San José del Guaviare - departamento del Guaviare",GUAVIARE,SAN JOSÉ DEL GUAVIARE,42,33,9,30,546720000,N/A,546720000,640278000,1186998000,42,1254,07/13/2017 12:00:00 AM,2017,N/A
19,19,"Fortalecer la cadena productiva de cacao en el Distrito Comunal de Filipinas, municipio de Arauquita - departamento de Arauca.",ARAUCA,ARAUQUITA,40,25,15,11,499970760,N/A,499970760,291424000,791394760,64,1304,08/04/2017 12:00:00 AM,2017,N/A
20,20,"Fortalecer la productividad y competitividad de 46 cacaoteros de las asociaciones ASOCADELCAT, ASOCOMMULCAT y ASOPROCAP, del muncipio de Tibú - departamento de Norte de Santander",N_DE_SANTANDER,TIBÚ,46,31,15,21,252785478,N/A,252785478,351466000,604251478,92,1453,10/12/2017 12:00:00 AM,2017,N/A
21,21,Fortalecimiento de la cadena productiva de cachama blanca para la asociación de mujeres cabeza de familia del corregimiento la Carmelita - AMCAR del municipio de Puerto Asís - Putumayo,PUTUMAYO,PUERTO ASÍS,45,31,14,6,191473000,N/A,191473000,47327000,238800000,7,1256,07/13/2017 12:00:00 AM,2017,N/A
22,22,Mejorar la productividad lechera de pequeños y medianos productores ganaderos de la vereda Pondores en el municipio de Fonseca - Departamento de la Guajira,LA_GUAJIRA,FONSECA,25,17,8,0,90958625,N/A,90958625,27375000,118333625,500,1217,06/29/2017 12:00:00 AM,2017,N/A
23,23,"Fortalecer la cadena productiva de café y plátano, a través del suministro de insumos y asistencia técnica en la vereda Llano Grande de Chimiadó del municipio de Dabeiba, Antioquia",ANTIOQUIA,DABEIBA,25,20,5,23,401373250,N/A,401373250,355140000,756513250,69,1351,08/28/2017 12:00:00 AM,2017,N/A
24,24,"Fortalecimiento al proceso de beneficio de café a pequeños productores en las veredas de Santa Lucía, Quindío, Quebrada del medio y Santa Bárbara y sostenimiento de una hectárea de café para cada uno de los 23 beneficiarios de APROCANT, en el municipio de Ituango, Antioquia",ANTIOQUIA,ITUANGO,23,20,3,19,239748000,N/A,239748000,52729500,292477500,23,1261,07/17/2017 12:00:00 AM,2017,N/A
25,25,"Fortalecimiento de la productividad del cultivo de caucho con la implementación de tecnologías a partir de la dotación de maquinaria e insumos agrícolas en las veredas Las Delicias, Aguazul, Buenos Aires, Altamira, Santa Teresa, Los Medios y El Billar del municipio de la Macarena - Meta",META,LA MACARENA,28,16,12,10,255000000,N/A,255000000,41570000,296570000,93,1401,09/19/2017 12:00:00 AM,2017,N/A
26,26,Fortalecer la competitividad de pequeños y medianos productores de ganadería doble propósito de la vereda El Cedrito mediante la implementación de dos tanques de frío de leche,CAQUETA,LA MONTAÑITA,20,12,8,0,125000000,N/A,125000000,33667500,158667500,350,1264,07/18/2017 12:00:00 AM,2017,N/A
27,27,"Implementar la infraestructura para el acopio de café a 62 pequeños caficultores del municipio de Miranda, departamento del Cauca",CAUCA,MIRANDA,62,45,17,41,709887870,N/A,709887870,564126400,1274014270,99,105,02/15/2018 12:00:00 AM,2017,N/A
28,28,"Implementación de un modelo piscícola para la producción de trucha arco iris en la vereda Caserío Balsillas, Municipio de San Vicente del Caguán",CAQUETA,SAN VICENTE DEL CAGUÁN,49,19,30,14,528075000,N/A,528075000,63450000,591525000,1,1406,09/22/2017 12:00:00 AM,2017,N/A
